Date,Open,High,Low,Close,Volume
1992-10-12 00:00:00+01:00,126.38290405273438,127.18155670166016,126.0561752319336,126.94559478759766,0
1992-10-13 00:00:00+01:00,126.77315521240234,127.00458526611328,126.49180603027344,126.8502960205078,0
1992-10-14 00:00:00+01:00,126.0561752319336,126.55533599853516,126.00172424316406,126.48727416992188,0
1992-10-15 00:00:00+01:00,126.09701538085938,126.56895446777344,125.68861389160156,125.8247528076172,0
1992-10-16 00:00:00+01:00,126.2649154663086,126.47819519042967,124.85819244384766,125.23029327392578,0
1992-10-19 00:00:00+01:00,124.96710205078124,125.1849136352539,124.14122009277344,124.28643035888672,0
1992-10-20 00:00:00+01:00,125.43903350830078,126.73685455322266,125.23483276367188,126.4736557006836,0
1992-10-21 00:00:00+01:00,127.23601531982422,127.5854263305664,126.10609436035156,126.3012237548828,0
1992-10-22 00:00:00+01:00,126.2649154663086,126.42828369140624,125.43903350830078,125.66592407226562,0
1992-10-23 00:00:00+01:00,124.80374145507812,126.3420639038086,124.79920196533205,126.2240753173828,0
1992-10-26 00:00:00+01:00,126.83214569091795,126.87298583984376,126.21500396728516,126.3375244140625,0
1992-10-27 00:00:00+01:00,126.15147399902344,126.8502960205078,125.8065948486328,126.6778564453125,0
1992-10-28 00:00:00+01:00,126.51903533935548,126.67332458496094,126.26038360595705,126.40105438232422,0
1992-10-29 00:00:00+01:00,125.52979278564452,125.56155395507812,124.71298217773438,124.7810516357422,0
1992-10-30 00:00:00+01:00,125.4980239868164,125.57970428466795,124.02777099609376,124.0459213256836,0
1992-11-02 00:00:00+01:00,123.75096130371094,125.04424285888672,123.39701080322266,125.02155303955078,0
1992-11-03 00:00:00+01:00,126.38290405273438,126.56441497802734,125.90189361572266,126.2240753173828,0
1992-11-04 00:00:00+01:00,125.93819427490234,126.06071472167967,125.01701354980467,125.27113342285156,0
1992-11-05 00:00:00+01:00,124.15937042236328,125.51617431640624,124.13668060302734,125.3891143798828,0
