Date,Open,High,Low,Close,Volume
1998-01-03,0.0,0.0,0.0,474.76,0
1998-01-05,0.0,0.0,0.0,487.47,0
1998-01-06,0.0,0.0,0.0,504.7,0
1998-01-07,0.0,0.0,0.0,531.37,0
1998-01-08,0.0,0.0,0.0,550.66,0
1998-01-09,0.0,0.0,0.0,533.4,0
1998-01-10,0.0,0.0,0.0,566.2,0
1998-01-12,0.0,0.0,0.0,560.34,0
1998-01-13,0.0,0.0,0.0,569.42,0
1998-01-14,0.0,0.0,0.0,572.63,0
1998-01-15,0.0,0.0,0.0,614.95,0
1998-01-16,0.0,0.0,0.0,568.59,0
1998-01-17,0.0,0.0,0.0,581.99,0
1998-01-19,0.0,0.0,0.0,628.11,0
1998-01-20,0.0,0.0,0.0,632.13,0
1998-01-21,0.0,0.0,0.0,584.97,0
1998-01-22,0.0,0.0,0.0,541.47,0
1998-01-23,0.0,0.0,0.0,554.07,0
1998-01-24,0.0,0.0,0.0,593.19,0
1998-01-26,0.0,0.0,0.0,593.76,0
1998-01-30,0.0,0.0,0.0,640.1,0
1998-01-31,0.0,0.0,0.0,665.36,0
1998-02-02,0.0,0.0,0.0,627.64,0
1998-02-03,0.0,0.0,0.0,634.34,0
1998-02-04,0.0,0.0,0.0,629.42,0
1998-02-05,0.0,0.0,0.0,600.88,0
1998-02-06,0.0,0.0,0.0,645.84,0
1998-02-07,0.0,0.0,0.0,634.27,0
1998-02-09,0.0,0.0,0.0,643.57,0
1998-02-10,0.0,0.0,0.0,638.94,0
1998-02-11,0.0,0.0,0.0,595.73,0
1998-02-12,0.0,0.0,0.0,584.04,0
1998-02-13,0.0,0.0,0.0,557.45,0
1998-02-14,0.0,0.0,0.0,554.98,0
1998-02-16,0.0,0.0,0.0,539.6,0
1998-02-17,0.0,0.0,0.0,527.18,0
1998-02-18,0.0,0.0,0.0,566.85,0
1998-02-19,0.0,0.0,0.0,610.13,0
1998-02-20,0.0,0.0,0.0,605.34,0
1998-02-21,0.0,0.0,0.0,612.99,0
1998-02-23,0.0,0.0,0.0,627.15,0
1998-02-24,0.0,0.0,0.0,615.11,0
1998-02-25,0.0,0.0,0.0,599.28,0
1998-02-26,0.0,0.0,0.0,614.45,0
1998-02-27,0.0,0.0,0.0,633.87,0
1998-02-28,0.0,0.0,0.0,628.99,0
