Date,Open,High,Low,Close,Volume
2000-10-15 15:00:00,858.5,873.9000244140625,851.2999877929688,867.0999755859375,193900
2000-10-16 15:00:00,849.5999755859375,860.0999755859375,791.0999755859375,804.0,218200
2000-10-17 15:00:00,788.5,811.4000244140625,758.2000122070312,802.5999755859375,241000
2000-10-18 15:00:00,793.5999755859375,820.4000244140625,786.9000244140625,798.4000244140625,204500
2000-10-19 15:00:00,834.7000122070312,840.9000244140625,822.5,826.2000122070312,221900
2000-10-22 15:00:00,820.0,829.7999877929688,794.4000244140625,796.4000244140625,182400
2000-10-23 15:00:00,793.5999755859375,809.7999877929688,784.7999877929688,808.9000244140625,204700
2000-10-24 15:00:00,805.0,816.2000122070312,801.7000122070312,808.5999755859375,214500
2000-10-25 15:00:00,793.7999877929688,802.0,785.4000244140625,793.7999877929688,195700
2000-10-26 15:00:00,806.4000244140625,810.0999755859375,780.5,783.7000122070312,222800
2000-10-29 15:00:00,776.4000244140625,779.7999877929688,735.2000122070312,741.7999877929688,167700
2000-10-30 15:00:00,719.2999877929688,748.0,676.9000244140625,746.7999877929688,225500
2000-10-31 15:00:00,762.0,771.0999755859375,756.7999877929688,763.5999755859375,240400
2000-11-01 15:00:00,758.0,790.0999755859375,755.7000122070312,782.5,253100
2000-11-02 15:00:00,800.7000122070312,809.7999877929688,788.2000122070312,795.4000244140625,242400
2000-11-05 15:00:00,794.0,816.9000244140625,792.0999755859375,804.5999755859375,246700
2000-11-06 15:00:00,803.9000244140625,810.2999877929688,790.5999755859375,796.2999877929688,276200
2000-11-07 15:00:00,793.7999877929688,804.5,784.2000122070312,793.0999755859375,238400
2000-11-08 15:00:00,785.2999877929688,801.0999755859375,785.2999877929688,801.0999755859375,211900
2000-11-09 15:00:00,800.5,810.9000244140625,798.4000244140625,808.2999877929688,246800
2000-11-12 15:00:00,797.2000122070312,798.0,775.7999877929688,780.7000122070312,243200
2000-11-13 15:00:00,782.2999877929688,800.9000244140625,782.2999877929688,800.9000244140625,287900
2000-11-14 15:00:00,819.2999877929688,834.4000244140625,808.4000244140625,816.4000244140625,368400
2000-11-15 15:00:00,821.0999755859375,822.0,798.2999877929688,808.5999755859375,293800
2000-11-16 15:00:00,801.5999755859375,812.5,798.0999755859375,806.7999877929688,285700
2000-11-19 15:00:00,802.0,810.5,797.2999877929688,801.7000122070312,281200
2000-11-20 15:00:00,789.2999877929688,791.5,763.0999755859375,787.0,312700
2000-11-21 15:00:00,782.4000244140625,793.5999755859375,770.0,771.2999877929688,299900
2000-11-22 15:00:00,756.5999755859375,758.4000244140625,724.0999755859375,728.2999877929688,290000
2000-11-23 15:00:00,726.0,739.4000244140625,713.0999755859375,735.0,263900
2000-11-26 15:00:00,746.0999755859375,759.4000244140625,745.5999755859375,759.4000244140625,276700
2000-11-27 15:00:00,750.2000122070312,750.2000122070312,722.5,725.0,270700
2000-11-28 15:00:00,699.0,699.0,681.0999755859375,684.5,261800
2000-11-29 15:00:00,682.0999755859375,687.5,647.5999755859375,672.5999755859375,308300
2000-11-30 15:00:00,640.7999877929688,678.0999755859375,640.7999877929688,678.0999755859375,341100
2000-12-03 15:00:00,686.2000122070312,691.0999755859375,661.9000244140625,663.7999877929688,327300
2000-12-04 15:00:00,664.5,670.2999877929688,654.5,669.5999755859375,334500
2000-12-05 15:00:00,695.4000244140625,706.0,671.7000122070312,675.4000244140625,402400
2000-12-06 15:00:00,667.4000244140625,684.7999877929688,666.9000244140625,677.2000122070312,299600
2000-12-07 15:00:00,678.2000122070312,686.0999755859375,672.7999877929688,684.0999755859375,310000
2000-12-10 15:00:00,697.0,711.0999755859375,696.0,711.0999755859375,289200
