Price,Close,High,Low,Open,Volume
Ticker,^KS11,^KS11,^KS11,^KS11,^KS11
Date,,,,,
2024-10-31,2556.14990234375,2579.64990234375,2552.360107421875,2575.239990234375,406600
2024-11-01,2542.360107421875,2559.300048828125,2536.840087890625,2542.9599609375,319800
2024-11-04,2588.969970703125,2588.969970703125,2542.679931640625,2549.0400390625,373900
2024-11-05,2576.8798828125,2586.72998046875,2564.659912109375,2570.239990234375,310900
2024-11-06,2563.510009765625,2592.75,2544.0400390625,2591.89990234375,548500
2024-11-07,2564.6298828125,2579.81005859375,2540.47998046875,2557.22998046875,465100
2024-11-08,2561.14990234375,2593.14990234375,2553.419921875,2586.699951171875,448700
2024-11-11,2531.659912109375,2562.050048828125,2525.56005859375,2562.050048828125,572200
2024-11-12,2482.570068359375,2532.43994140625,2481.530029296875,2527.93994140625,735800
2024-11-13,2417.080078125,2478.8701171875,2415.77001953125,2468.27001953125,619200
2024-11-14,2418.860107421875,2441.429931640625,2410.929931640625,2430.260009765625,640000
2024-11-15,2416.860107421875,2433.179931640625,2390.56005859375,2413.050048828125,623300
2024-11-18,2469.070068359375,2480.010009765625,2437.530029296875,2440.31005859375,443900
2024-11-19,2471.949951171875,2479.389892578125,2465.14990234375,2469.1298828125,410900
2024-11-20,2482.2900390625,2489.14990234375,2471.7900390625,2475.760009765625,408800
2024-11-21,2480.6298828125,2496.969970703125,2474.6201171875,2474.6201171875,451100
2024-11-22,2501.239990234375,2511.22998046875,2492.2099609375,2493.419921875,543500
2024-11-25,2534.340087890625,2541.760009765625,2517.97998046875,2524.110107421875,564700
2024-11-26,2520.360107421875,2526.6201171875,2512.2099609375,2521.389892578125,441700
2024-11-27,2503.06005859375,2526.320068359375,2498.320068359375,2518.820068359375,414300
2024-11-28,2504.669921875,2513.6298828125,2495.639892578125,2499.68994140625,342600
2024-11-29,2455.909912109375,2496.929931640625,2446.9599609375,2496.929931640625,384300
2024-12-02,2454.47998046875,2483.2900390625,2448.449951171875,2479.02001953125,328100
2024-12-03,2500.10009765625,2500.669921875,2471.550048828125,2472.06005859375,324100
