date,median_overall_3m,median_overall_12m,median_overall_1983_3m,median_overall_1983,median_overall,weighted_median_overall_3m,weighted_median_overall_12m,weighted_median_1997_12m,weighted_median_1997_3m,job_stayer_12m,job_stayer_3m,job_switcher_12m,job_switcher_3m,age_16_24_12m,age_25_54_12m,age_25_54_3m,age_55_over_12m,male_12m,male_3m,female_12m,female_3m,white_12m,nonwhite_12m,high_school_12m,associates_12m,bachelor_higher_12m,college_degree_3m,fulltime_12m,fulltime_3m,parttime_12m,paid_hourly_12m,paid_hourly_3m,not_paid_hourly_12m,manufacturing_12m,construction_mining_12m,trade_transport_12m,finance_business_12m,education_health_12m,leisure_hospitality_12m,public_admin_12m,services_3m,professional_mgmt_12m,service_12m,optics_12m,msa_area_12m,non_msa_12m,percentile_1_25_12m,percentile_26_50_12m,percentile_51_75_12m,percentile_76_100_12m,percentile_1_50_3m,percentile_51_100_3m,percentile_25_3m,percentile_75_3m,mean_3m,trimmed_mean_3m,unchanged_3m,weekly_wage_3m
2024-09-01,4.7,5.0,4.7,4.9,4.9,4.7,5.1,5.1,4.8,4.8,4.6,5.3,4.9,8.0,5.3,5.2,3.6,4.9,4.3,5.2,5.1,5.1,4.9,4.8,5.1,5.3,5.1,5.0,4.8,5.0,4.9,4.4,5.2,4.8,6.1,4.9,5.0,4.9,4.9,6.3,4.7,5.3,4.6,4.8,5.0,5.1,5.1,4.9,5.1,4.8,4.5,5.0,0.0,15.2,6.3,4.6,12.3,4.3
2024-10-01,4.6,4.9,4.6,4.2,4.2,4.6,5.0,5.0,4.7,4.8,4.6,5.2,4.7,7.7,5.2,5.1,3.5,4.7,4.1,5.1,5.2,5.0,4.8,4.6,5.1,5.3,5.1,4.9,4.6,4.9,4.8,4.3,5.1,4.7,6.0,4.8,4.9,4.9,4.8,6.2,4.8,5.3,4.3,4.7,4.9,5.0,4.8,4.9,5.0,4.9,4.3,5.0,-0.7,14.9,6.0,4.5,12.1,4.6
2024-11-01,4.3,4.8,4.3,3.8,3.8,4.3,4.9,4.9,4.5,4.7,4.1,5.1,4.6,7.4,5.2,4.8,3.4,4.7,3.9,5.0,4.8,4.8,4.9,4.4,4.9,5.2,4.8,4.8,4.4,4.7,4.6,4.0,5.0,4.5,6.0,4.6,4.8,4.8,4.6,6.1,4.4,5.2,4.1,4.6,4.8,4.7,4.6,4.8,4.7,4.9,4.2,4.7,-1.0,14.2,5.5,4.1,12.9,4.5
2024-12-01,4.2,4.7,4.2,4.4,4.4,4.2,4.8,4.8,4.2,4.6,4.1,5.0,4.3,6.8,5.0,4.5,3.5,4.6,4.1,4.9,4.3,4.8,4.7,4.4,4.9,5.1,4.6,4.8,4.3,4.6,4.6,3.8,5.0,4.5,5.4,4.4,4.8,4.8,4.4,6.1,4.2,5.1,4.0,4.5,4.7,4.8,4.5,4.8,4.6,4.9,3.9,4.4,-1.4,13.9,5.7,4.0,12.9,4.3
2025-01-01,4.1,4.7,4.1,4.1,4.1,4.3,4.7,4.7,4.2,4.6,4.1,4.8,4.2,6.9,5.0,4.3,3.6,4.6,4.3,4.8,4.0,4.7,4.6,4.3,4.9,5.1,4.5,4.7,4.2,4.5,4.5,3.8,4.9,4.5,5.2,4.2,4.6,4.9,4.4,6.2,4.1,5.0,4.1,4.5,4.7,4.9,4.4,4.7,4.7,4.8,4.1,4.2,-0.7,13.3,5.7,3.9,12.9,4.2
2025-02-01,4.3,4.6,4.3,4.3,4.3,4.4,4.7,4.7,4.3,4.6,4.4,4.8,4.2,6.8,4.9,4.3,3.5,4.5,4.4,4.8,4.2,4.6,4.8,4.2,5.0,5.0,4.6,4.7,4.3,4.4,4.4,3.9,4.9,4.4,5.2,4.3,4.6,4.8,4.6,6.1,4.2,5.0,4.0,4.5,4.6,4.8,4.4,4.6,4.6,4.8,4.1,4.5,-0.4,13.7,5.9,4.1,12.3,4.3
2025-03-01,4.3,4.6,4.3,4.4,4.4,4.4,4.7,4.6,4.3,4.6,4.4,4.7,4.2,6.8,4.9,4.3,3.6,4.5,4.2,4.7,4.4,4.6,4.7,4.2,5.0,5.0,4.6,4.7,4.3,4.2,4.4,3.8,5.0,4.3,5.2,4.3,4.5,4.8,4.5,6.0,4.3,5.0,3.9,4.4,4.6,4.8,4.1,4.6,4.6,4.9,4.1,4.5,0.0,13.7,6.1,4.2,12.6,4.4
2025-04-01,4.3,4.4,4.3,4.2,4.2,4.3,4.4,4.4,4.2,4.4,4.4,4.5,4.3,6.5,4.7,4.4,3.5,4.4,4.2,4.5,4.4,4.4,4.5,4.0,4.9,4.8,4.8,4.5,4.4,3.9,4.2,3.8,4.9,4.0,5.4,4.0,4.4,4.7,4.4,6.1,4.4,4.8,3.8,4.2,4.4,4.6,3.9,4.5,4.5,4.7,4.1,4.5,-0.3,14.8,6.6,4.4,13.0,4.1
2025-05-01,4.3,4.4,4.3,4.2,4.2,4.3,4.4,4.4,4.2,4.4,4.3,4.4,4.1,6.3,4.7,4.5,3.4,4.2,4.1,4.5,4.5,4.4,4.5,3.9,4.8,4.8,4.7,4.4,4.3,3.9,4.1,3.8,5.0,4.0,5.6,3.8,4.2,4.7,4.4,6.0,4.3,4.8,3.9,4.1,4.4,4.4,3.8,4.4,4.5,4.7,4.1,4.4,-0.3,15.1,6.8,4.3,13.2,4.0
2025-06-01,4.2,4.3,4.2,4.1,4.1,4.2,4.4,4.4,4.2,4.3,4.2,4.3,4.0,6.3,4.6,4.3,3.5,4.1,3.9,4.5,4.4,4.3,4.3,3.9,4.6,4.7,4.5,4.4,4.2,3.9,4.0,3.9,4.9,4.0,5.2,3.6,4.4,4.6,4.5,5.8,4.2,4.8,3.9,4.0,4.3,4.4,3.7,4.4,4.3,4.7,4.2,4.0,-1.1,14.8,6.0,4.1,13.3,4.0
2025-07-01,4.1,4.3,4.1,4.1,4.1,4.3,4.4,4.4,4.4,4.3,4.1,4.3,4.0,5.9,4.5,4.3,3.5,4.1,3.9,4.5,4.4,4.3,4.3,3.9,4.5,4.6,4.2,4.4,4.2,3.6,4.0,3.9,4.9,4.0,5.0,3.6,4.5,4.5,4.6,5.8,4.1,4.7,3.8,4.0,4.3,4.3,3.7,4.4,4.3,4.7,4.2,3.9,-0.8,14.3,5.8,4.0,13.8,4.2
