date,shipments_total,shipments_ex_transport,shipments_ex_defense,shipments_primary_metals,shipments_fabricated_metals,shipments_machinery,shipments_computers_electronics,shipments_computers,shipments_communications,shipments_electrical,shipments_transportation,shipments_motor_vehicles,shipments_nondef_aircraft,shipments_defense_aircraft,shipments_other_durables,shipments_capital_goods,shipments_nondef_capital,shipments_core_capital,shipments_defense_capital,orders_total,orders_ex_transport,orders_ex_defense,orders_primary_metals,orders_fabricated_metals,orders_machinery,orders_computers_electronics,orders_computers,orders_communications,orders_electrical,orders_transportation,orders_motor_vehicles,orders_nondef_aircraft,orders_defense_aircraft,orders_other_durables,orders_capital_goods,orders_nondef_capital,orders_core_capital,orders_defense_capital,unfilled_total,unfilled_ex_transport,unfilled_ex_defense,unfilled_primary_metals,unfilled_fabricated_metals,unfilled_machinery,unfilled_computers_electronics,unfilled_electrical,unfilled_transportation,unfilled_motor_vehicles,unfilled_nondef_aircraft,unfilled_defense_aircraft,unfilled_other_durables,unfilled_capital_goods,unfilled_core_capital,inventory_total,inventory_ex_transport,inventory_ex_defense,inventory_primary_metals,inventory_fabricated_metals,inventory_machinery,inventory_computers_electronics,inventory_electrical,inventory_transportation,inventory_motor_vehicles,inventory_nondef_aircraft,inventory_defense_aircraft,inventory_other_durables,inventory_capital_goods,inventory_core_capital
1992-11-30,128989.0,91663.0,120251.0,10257.0,14481.0,15758.0,23022.0,3173.0,3208.0,7086.0,37326.0,24352.0,5516.0,3189.0,21059.0,47417.0,39711.0,36647.0,7706.0,122374.0,89497.0,114116.0,10100.0,14301.0,16071.0,21027.0,3236.0,3894.0,6984.0,32877.0,24454.0,2202.0,2809.0,21014.0,45104.0,37558.0,36968.0,7546.0,451965.0,297902.0,297902.0,17951.0,29282.0,41445.0,83243.0,12241.0,261849.0,11789.0,128439.0,49839.0,5954.0,320440.0,92354.0,237825.0,171663.0,210126.0,18098.0,26258.0,35877.0,44392.0,12360.0,66162.0,17246.0,24353.0,16244.0,34678.0,120029.0,78435.0
1992-12-31,130106.0,92799.0,120847.0,9883.0,14503.0,17118.0,23352.0,3133.0,3423.0,7032.0,37307.0,23858.0,5169.0,3643.0,20911.0,49136.0,41035.0,38225.0,8101.0,126080.0,91359.0,117702.0,10602.0,14938.0,16704.0,21666.0,3082.0,3619.0,6853.0,34721.0,23654.0,4239.0,3298.0,20596.0,47761.0,40522.0,41875.0,7239.0,450897.0,297715.0,297715.0,18670.0,29717.0,41031.0,84515.0,12062.0,259263.0,11585.0,127509.0,49494.0,5639.0,319065.0,92503.0,237854.0,171541.0,210334.0,18046.0,26012.0,36203.0,44469.0,12256.0,66313.0,16992.0,24671.0,16134.0,34555.0,120501.0,78883.0
1993-01-31,129525.0,92474.0,121137.0,10158.0,14379.0,16395.0,23129.0,3425.0,3323.0,7080.0,37051.0,24773.0,4781.0,2987.0,21333.0,48332.0,40911.0,37790.0,7421.0,121637.0,91074.0,115615.0,10891.0,13919.0,16286.0,20541.0,3229.0,3458.0,7236.0,30563.0,24752.0,1344.0,1506.0,22201.0,42339.0,37310.0,32942.0,5029.0,445479.0,294663.0,294663.0,19403.0,29257.0,40922.0,84397.0,12218.0,252775.0,11564.0,124072.0,48013.0,6507.0,313072.0,91754.0,235379.0,169818.0,208170.0,17735.0,25908.0,35747.0,43790.0,12210.0,65561.0,16975.0,24327.0,15890.0,34428.0,119216.0,78119.0
1993-02-28,131195.0,93603.0,122621.0,10175.0,14443.0,15765.0,23436.0,3278.0,3442.0,7177.0,37592.0,25237.0,4616.0,3167.0,22607.0,47021.0,39608.0,37158.0,7413.0,128854.0,90448.0,121420.0,10670.0,14272.0,15365.0,20113.0,3491.0,3167.0,7188.0,38406.0,25168.0,5963.0,2783.0,22840.0,47808.0,41449.0,36180.0,6359.0,445929.0,296253.0,296253.0,19898.0,29086.0,40522.0,83865.0,12229.0,253589.0,11495.0,125419.0,47629.0,6740.0,313859.0,91558.0,235598.0,170111.0,208980.0,17678.0,25827.0,35808.0,43902.0,12250.0,65487.0,17025.0,24752.0,15295.0,34646.0,119625.0,78354.0
1993-03-31,131602.0,94051.0,123281.0,10628.0,14458.0,16329.0,23305.0,3207.0,3353.0,7127.0,37551.0,25339.0,4753.0,3012.0,22204.0,47682.0,40300.0,37713.0,7382.0,126762.0,91923.0,118717.0,11682.0,14265.0,16021.0,20413.0,2773.0,3093.0,7163.0,34839.0,25290.0,2539.0,3173.0,22379.0,45256.0,38065.0,41217.0,7191.0,443831.0,294431.0,294431.0,20952.0,28893.0,40214.0,83715.0,12265.0,250877.0,11446.0,123205.0,47790.0,6915.0,311433.0,90740.0,237272.0,171599.0,210705.0,18820.0,25817.0,35847.0,43625.0,12433.0,65673.0,17102.0,24748.0,15420.0,35057.0,119756.0,78335.0
1993-04-30,131373.0,93529.0,123117.0,10620.0,14445.0,16084.0,22962.0,3095.0,3340.0,7141.0,37844.0,25408.0,4995.0,3047.0,22277.0,47328.0,40109.0,37231.0,7219.0,127395.0,91700.0,120216.0,10450.0,14368.0,16200.0,20516.0,3147.0,3584.0,7188.0,35695.0,25391.0,4036.0,3103.0,22978.0,46429.0,39994.0,36725.0,6435.0,442604.0,294281.0,294281.0,20782.0,28816.0,40330.0,84020.0,12312.0,248728.0,11429.0,122246.0,47846.0,7616.0,310534.0,91238.0,237841.0,172201.0,211430.0,18643.0,25664.0,36365.0,43479.0,12510.0,65640.0,17276.0,24553.0,15407.0,35540.0,120250.0,78933.0
1993-05-31,133133.0,94745.0,124805.0,10466.0,14749.0,16642.0,23215.0,2867.0,3507.0,7298.0,38388.0,25534.0,5411.0,3048.0,22375.0,48354.0,41144.0,37869.0,7210.0,126529.0,91493.0,119649.0,10564.0,14205.0,16437.0,20495.0,3221.0,3607.0,7312.0,35036.0,26203.0,3108.0,2577.0,22480.0,45067.0,39297.0,35986.0,5770.0,438750.0,291875.0,291875.0,20880.0,28272.0,40125.0,84050.0,12326.0,245376.0,12098.0,119943.0,47375.0,7721.0,307247.0,91238.0,237906.0,172642.0,211153.0,18642.0,25723.0,36151.0,43992.0,12521.0,65264.0,16985.0,24119.0,15869.0,35613.0,120613.0,79000.0
1993-06-30,134079.0,95981.0,125776.0,10701.0,14886.0,16857.0,24124.0,3182.0,3426.0,7257.0,38098.0,25977.0,4928.0,2905.0,22156.0,48203.0,40777.0,38235.0,7426.0,130212.0,91139.0,124266.0,10692.0,14456.0,16781.0,19770.0,2984.0,3794.0,7197.0,39073.0,26002.0,6735.0,2607.0,22243.0,47789.0,42739.0,41990.0,5050.0,438096.0,293578.0,293578.0,20871.0,27842.0,40049.0,82909.0,12266.0,246351.0,12123.0,121750.0,47077.0,7808.0,306833.0,91384.0,238082.0,172711.0,211567.0,18531.0,25612.0,36409.0,43966.0,12518.0,65371.0,16969.0,24206.0,15811.0,35675.0,120515.0,79427.0
1993-07-31,131105.0,94800.0,122757.0,10408.0,14747.0,16267.0,23794.0,3099.0,3561.0,7349.0,36305.0,24837.0,3871.0,3149.0,22235.0,47826.0,40413.0,38318.0,7413.0,128111.0,92496.0,119325.0,10427.0,14738.0,16926.0,20734.0,3218.0,3710.0,7337.0,35615.0,24862.0,2391.0,3249.0,22334.0,48759.0,41031.0,34445.0,7728.0,437944.0,292988.0,292988.0,20890.0,27833.0,40708.0,82691.0,12254.0,245661.0,12148.0,120270.0,47177.0,7907.0,307766.0,91981.0,237392.0,172281.0,211196.0,18425.0,25779.0,35853.0,44043.0,12460.0,65111.0,16644.0,24479.0,15614.0,35721.0,119627.0,78984.0
1993-08-31,132099.0,95481.0,124260.0,10611.0,14790.0,16255.0,23943.0,3237.0,3738.0,7347.0,36618.0,24263.0,5427.0,2804.0,22535.0,48731.0,41699.0,38394.0,7032.0,129378.0,93424.0,121450.0,10411.0,14787.0,16913.0,21352.0,3380.0,4109.0,7508.0,35954.0,24393.0,4308.0,2877.0,22453.0,49653.0,42415.0,37126.0,7238.0,438224.0,293179.0,293179.0,20690.0,27830.0,41366.0,83101.0,12415.0,244997.0,12278.0,119151.0,47250.0,7825.0,308688.0,92896.0,237260.0,172761.0,211119.0,18494.0,25931.0,36240.0,43897.0,12435.0,64499.0,17600.0,22891.0,15660.0,35764.0,118595.0,79073.0
