date,shipments_total,shipments_primary_metals,shipments_fabricated_metals,shipments_computers,shipments_communications,shipments_motor_vehicles,shipments_nondef_aircraft,shipments_defense_aircraft,shipments_other_durables,shipments_nondef_capital,shipments_core_capital,orders_ex_transport,orders_ex_defense,orders_fabricated_metals,orders_machinery,orders_computers_electronics,orders_computers,orders_transportation,orders_motor_vehicles,orders_other_durables,orders_capital_goods,orders_defense_capital,unfilled_total,unfilled_ex_defense,unfilled_primary_metals,unfilled_fabricated_metals,unfilled_machinery,unfilled_electrical,unfilled_transportation,unfilled_motor_vehicles,unfilled_nondef_aircraft,unfilled_core_capital,inventory_total,inventory_primary_metals,inventory_fabricated_metals,inventory_transportation,inventory_motor_vehicles,inventory_other_durables,inventory_capital_goods
2020-01-01,232445.0,18214.0,31177.0,772.0,2748.0,52879.0,9002.0,5140.0,38368.0,68050.0,63257.0,153995.0,218850.0,31794.0,31680.0,22796.0,792.0,79661.0,53362.0,38423.0,83489.0,12704.0,1078302.0,871594.0,27260.0,96120.0,104678.0,27274.0,687104.0,21103.0,478757.0,226156.0,438586.0,36130.0,55194.0,145078.0,42501.0,60379.0,215455.0
2020-02-01,235234.0,18070.0,31321.0,755.0,2695.0,54290.0,10712.0,5148.0,38256.0,69210.0,62526.0,153847.0,220663.0,31603.0,31462.0,23006.0,774.0,86508.0,54676.0,38363.0,89932.0,17869.0,1087726.0,875627.0,27200.0,96402.0,104940.0,27416.0,694640.0,21489.0,481249.0,226349.0,437984.0,35776.0,54935.0,145805.0,42325.0,60065.0,215398.0
2020-03-01,221504.0,16975.0,30086.0,765.0,2740.0,42809.0,12863.0,4726.0,37783.0,70188.0,61289.0,149039.0,184734.0,29525.0,31268.0,22648.0,771.0,55671.0,42989.0,37908.0,70581.0,18068.0,1075146.0,856937.0,26345.0,95841.0,105574.0,27609.0,681566.0,21669.0,462385.0,227347.0,439340.0,35973.0,54724.0,146573.0,42130.0,60259.0,216560.0
2020-04-01,177936.0,14409.0,26378.0,756.0,2736.0,19405.0,6106.0,5106.0,35331.0,59412.0,56162.0,134747.0,150253.0,25468.0,27723.0,22584.0,758.0,30419.0,19361.0,35271.0,65569.0,13301.0,1066521.0,847886.0,25409.0,94931.0,105820.0,27777.0,673291.0,21625.0,454890.0,227695.0,439668.0,35469.0,54854.0,146543.0,41767.0,60608.0,217136.0
2020-05-01,185197.0,14591.0,27231.0,747.0,2716.0,24846.0,4648.0,5052.0,36472.0,59026.0,57131.0,139835.0,168370.0,26943.0,28573.0,22651.0,750.0,44582.0,25147.0,36613.0,74960.0,14456.0,1069953.0,849736.0,25277.0,94643.0,106281.0,28035.0,675185.0,21926.0,455730.0,228134.0,438760.0,34458.0,54503.0,147978.0,41774.0,60041.0,217946.0
2020-06-01,214651.0,15699.0,28910.0,776.0,2646.0,47217.0,5382.0,5224.0,38637.0,61704.0,59187.0,146908.0,187452.0,29605.0,29509.0,22760.0,773.0,55869.0,48343.0,38758.0,65466.0,13839.0,1062420.0,841307.0,25156.0,95338.0,106606.0,28171.0,665341.0,23052.0,444218.0,228838.0,438428.0,33441.0,53711.0,150336.0,41753.0,59800.0,219288.0
2020-07-01,229436.0,16240.0,29685.0,745.0,2842.0,57511.0,5427.0,5585.0,39949.0,63101.0,60387.0,151760.0,207147.0,30995.0,30244.0,23027.0,761.0,71990.0,57743.0,39995.0,73706.0,14886.0,1061149.0,837936.0,24957.0,96648.0,107034.0,28697.0,660999.0,23284.0,438582.0,229645.0,436134.0,32461.0,52722.0,150835.0,41188.0,59553.0,219813.0
2020-08-01,230760.0,16884.0,29619.0,757.0,2837.0,55168.0,7115.0,5474.0,40408.0,65457.0,61209.0,153267.0,209915.0,30314.0,30650.0,23404.0,768.0,73605.0,55795.0,40652.0,77731.0,15140.0,1061781.0,836219.0,25038.0,97343.0,107489.0,29100.0,658590.0,23911.0,434008.0,230452.0,435907.0,32892.0,52497.0,151098.0,40869.0,59634.0,219549.0
2020-09-01,232666.0,17330.0,29930.0,796.0,2914.0,55794.0,6616.0,5110.0,41015.0,65603.0,61763.0,157970.0,218228.0,32325.0,31418.0,23397.0,832.0,72511.0,56355.0,41061.0,78091.0,10888.0,1064471.0,841113.0,26057.0,99738.0,108492.0,29663.0,655280.0,24472.0,432657.0,232253.0,435668.0,32311.0,52244.0,151960.0,40566.0,59697.0,220058.0
2020-10-01,236221.0,18199.0,30311.0,797.0,3093.0,54661.0,8397.0,5419.0,41672.0,68387.0,62785.0,160062.0,220586.0,32314.0,31575.0,24196.0,821.0,76276.0,55233.0,41827.0,83537.0,14337.0,1068989.0,844638.0,26434.0,101741.0,109362.0,29999.0,654802.0,25044.0,431451.0,233482.0,436986.0,32605.0,52167.0,152769.0,40960.0,60033.0,219973.0
2020-11-01,236541.0,19171.0,30274.0,812.0,2882.0,55483.0,5626.0,5571.0,42273.0,65926.0,63157.0,161558.0,221500.0,32089.0,31572.0,24147.0,867.0,75557.0,56201.0,42453.0,81859.0,13851.0,1074211.0,849553.0,26954.0,103556.0,109950.0,30579.0,654893.0,25762.0,431506.0,234701.0,440676.0,32700.0,52386.0,155532.0,42228.0,60222.0,221434.0
2020-12-01,242130.0,20340.0,31126.0,805.0,2994.0,55773.0,8390.0,4815.0,42772.0,69430.0,63886.0,166699.0,227212.0,33267.0,33304.0,24299.0,867.0,75115.0,56359.0,42873.0,82019.0,13331.0,1078561.0,853788.0,27365.0,105697.0,111621.0,31516.0,652372.0,26348.0,429421.0,236328.0,439516.0,33057.0,52739.0,153162.0,41563.0,60588.0,219316.0
2021-01-01,248088.0,21777.0,31681.0,820.0,2890.0,56622.0,8515.0,5411.0,43632.0,70624.0,64872.0,169627.0,233325.0,34977.0,33000.0,22657.0,833.0,80310.0,57609.0,43927.0,84911.0,14764.0,1085066.0,858729.0,28070.0,108993.0,112515.0,32313.0,653500.0,27335.0,427034.0,238642.0,441377.0,34262.0,53404.0,151466.0,42593.0,61262.0,217875.0
2021-02-01,240704.0,21963.0,31552.0,815.0,2824.0,52302.0,6804.0,5023.0,43097.0,68440.0,64488.0,171368.0,235245.0,35379.0,34152.0,22920.0,839.0,80058.0,53122.0,43254.0,89241.0,13974.0,1100507.0,872602.0,29100.0,112820.0,114655.0,33361.0,660746.0,28155.0,431202.0,241692.0,447481.0,35498.0,54294.0,153098.0,44315.0,62168.0,218812.0
2021-03-01,244401.0,20300.0,32413.0,828.0,2883.0,52610.0,8259.0,5100.0,44305.0,70869.0,65833.0,173335.0,236402.0,37115.0,35030.0,22931.0,866.0,80470.0,53339.0,44736.0,90448.0,15420.0,1114752.0,884172.0,30009.0,117522.0,116857.0,34026.0,666418.0,28884.0,432738.0,244705.0,451494.0,34168.0,55454.0,155466.0,46918.0,62850.0,219209.0
2021-04-01,246491.0,21386.0,32929.0,809.0,2872.0,48544.0,11025.0,5014.0,44913.0,74039.0,66229.0,177206.0,238294.0,37952.0,35682.0,23219.0,817.0,75407.0,49525.0,45381.0,90872.0,12498.0,1125862.0,895864.0,30896.0,122545.0,119452.0,34675.0,668122.0,29865.0,433048.0,248935.0,455149.0,34582.0,56487.0,155911.0,48662.0,63605.0,219154.0
