date,total_construction_sa,total_construction_nsa,total_private_sa,total_private_nsa,total_public_sa,total_public_nsa,residential_total_sa,residential_total_nsa,residential_private_sa,residential_private_nsa,residential_public_sa,residential_public_nsa,nonresidential_total_sa,nonresidential_total_nsa,nonresidential_private_sa,nonresidential_private_nsa,nonresidential_public_sa,nonresidential_public_nsa,manufacturing_total_sa,manufacturing_private_sa,commercial_total_sa,commercial_private_sa,commercial_public_sa,office_total_sa,office_private_sa,office_public_sa,healthcare_total_sa,healthcare_private_sa,healthcare_public_sa,educational_total_sa,educational_private_sa,educational_public_sa,power_total_sa,power_private_sa,power_public_sa,highway_total_sa,highway_public_sa,transportation_total_sa,transportation_private_sa,transportation_public_sa
2020-11-01,1552457.0,128438.0,1185858.0,98737.0,366600.0,29701.0,714270.0,59253.0,704062.0,58416.0,10208.0,838.0,838188.0,69185.0,481796.0,40322.0,356392.0,28863.0,73596.0,73276.0,89686.0,85438.0,4249.0,88915.0,76760.0,12155.0,48244.0,38660.0,9584.0,108978.0,17356.0,91622.0,116540.0,109554.0,6987.0,101988.0,101704.0,59833.0,15937.0,43896.0
2020-12-01,1577505.0,117970.0,1206982.0,91994.0,370523.0,25976.0,735794.0,53246.0,725972.0,52490.0,9822.0,757.0,841712.0,64724.0,481011.0,39504.0,360701.0,25220.0,74784.0,74405.0,88138.0,84054.0,4084.0,89158.0,77420.0,11737.0,48411.0,38601.0,9811.0,108064.0,16835.0,91229.0,117387.0,110282.0,7105.0,105776.0,105522.0,61339.0,15957.0,45382.0
2021-01-01,1598697.0,113425.0,1231346.0,89798.0,367351.0,23627.0,756065.0,52833.0,746144.0,52127.0,9922.0,706.0,842631.0,60592.0,485203.0,37671.0,357429.0,22921.0,76407.0,76095.0,89519.0,85291.0,4227.0,90483.0,78188.0,12295.0,50064.0,40438.0,9627.0,106860.0,16266.0,90593.0,117771.0,109754.0,8017.0,102097.0,101819.0,60988.0,16446.0,44542.0
2021-02-01,1574677.0,111728.0,1216647.0,88254.0,358030.0,23474.0,746542.0,51712.0,736622.0,50973.0,9921.0,739.0,828135.0,60017.0,480025.0,37281.0,348109.0,22736.0,75896.0,75628.0,88730.0,84689.0,4041.0,88264.0,76140.0,12124.0,48514.0,39133.0,9381.0,105035.0,16090.0,88945.0,118022.0,110227.0,7795.0,99414.0,99086.0,59907.0,16409.0,43498.0
2021-03-01,1609846.0,127095.0,1248125.0,101322.0,361722.0,25773.0,765169.0,61953.0,755011.0,61141.0,10158.0,812.0,844677.0,65142.0,493114.0,40181.0,351564.0,24961.0,77935.0,77623.0,93924.0,90133.0,3791.0,92079.0,79715.0,12364.0,49047.0,39663.0,9384.0,103234.0,16221.0,87013.0,118924.0,111305.0,7619.0,101838.0,101443.0,62164.0,16523.0,45641.0
2021-04-01,1614358.0,133175.0,1255847.0,105079.0,358511.0,28096.0,776585.0,65285.0,766921.0,64477.0,9664.0,808.0,837773.0,67890.0,488926.0,40602.0,348848.0,27288.0,76696.0,76360.0,94825.0,90890.0,3935.0,90225.0,78051.0,12175.0,49397.0,39763.0,9634.0,101672.0,16045.0,85627.0,118565.0,110983.0,7582.0,102249.0,101869.0,60470.0,15954.0,44517.0
2021-05-01,1626557.0,140665.0,1266819.0,109416.0,359738.0,31249.0,789123.0,69299.0,779450.0,68482.0,9673.0,817.0,837434.0,71366.0,487369.0,40933.0,350065.0,30432.0,76435.0,76120.0,94125.0,89953.0,4172.0,89743.0,78118.0,11624.0,49105.0,39354.0,9752.0,100584.0,16072.0,84511.0,118597.0,111558.0,7040.0,106433.0,105999.0,59384.0,16114.0,43269.0
2021-06-01,1640276.0,148786.0,1284899.0,114686.0,355376.0,34099.0,800977.0,73132.0,791232.0,72245.0,9745.0,887.0,839299.0,75653.0,493668.0,42441.0,345631.0,33212.0,79323.0,78853.0,95088.0,91637.0,3450.0,89857.0,77444.0,12413.0,49862.0,40086.0,9775.0,100343.0,16130.0,84213.0,122152.0,113700.0,8452.0,102630.0,102168.0,58985.0,16383.0,42602.0
2021-07-01,1661524.0,152128.0,1304523.0,117175.0,357001.0,34952.0,816883.0,75569.0,807384.0,74729.0,9500.0,839.0,844641.0,76559.0,497140.0,42446.0,347501.0,34113.0,80888.0,80354.0,96765.0,93270.0,3495.0,90162.0,77764.0,12398.0,50256.0,39919.0,10337.0,100006.0,16649.0,83357.0,122257.0,113113.0,9144.0,103362.0,102898.0,59712.0,16606.0,43106.0
2021-08-01,1665413.0,153944.0,1307326.0,118128.0,358087.0,35816.0,821402.0,76334.0,811687.0,75468.0,9715.0,866.0,844011.0,77610.0,495639.0,42661.0,348372.0,34950.0,81435.0,80969.0,98443.0,94804.0,3639.0,89351.0,77091.0,12260.0,50582.0,40276.0,10306.0,102208.0,16825.0,85383.0,120738.0,111509.0,9229.0,103223.0,102778.0,57854.0,16327.0,41526.0
2021-09-01,1673533.0,150442.0,1321069.0,116341.0,352464.0,34101.0,831558.0,74134.0,822007.0,73268.0,9550.0,866.0,841975.0,76308.0,499062.0,43073.0,342914.0,33235.0,83013.0,82572.0,99500.0,96079.0,3421.0,90050.0,77484.0,12566.0,50932.0,40668.0,10264.0,99846.0,17440.0,82406.0,119854.0,110756.0,9097.0,104901.0,104476.0,56276.0,16080.0,40196.0
2021-10-01,1688747.0,147631.0,1337723.0,115614.0,351024.0,32016.0,843168.0,72997.0,833415.0,72164.0,9753.0,833.0,845579.0,74634.0,504308.0,43450.0,341271.0,31184.0,87210.0,86806.0,101654.0,98185.0,3468.0,88892.0,76312.0,12580.0,51503.0,41058.0,10445.0,95655.0,16931.0,78724.0,119032.0,109707.0,9324.0,104203.0,103734.0,57590.0,16279.0,41311.0
2021-11-01,1731869.0,143099.0,1373561.0,113922.0,358308.0,29177.0,867211.0,71398.0,857276.0,70569.0,9935.0,830.0,864658.0,71701.0,516285.0,43353.0,348373.0,28347.0,93539.0,93089.0,106370.0,102730.0,3639.0,90313.0,77574.0,12740.0,52371.0,41337.0,11034.0,98606.0,17209.0,81397.0,119654.0,108735.0,10920.0,103846.0,103255.0,58386.0,16082.0,42305.0
2021-12-01,1762351.0,131260.0,1403633.0,106018.0,358718.0,25242.0,894860.0,64323.0,885007.0,63558.0,9853.0,765.0,867490.0,66937.0,518626.0,42460.0,348865.0,24477.0,94605.0,94158.0,109367.0,105884.0,3483.0,89490.0,76645.0,12845.0,52401.0,41545.0,10857.0,100473.0,18325.0,82147.0,114829.0,105565.0,9263.0,107196.0,106270.0,58181.0,17161.0,41020.0
2022-01-01,1807763.0,127951.0,1445883.0,104767.0,361880.0,23184.0,923119.0,64133.0,913096.0,63420.0,10023.0,713.0,884644.0,63819.0,532787.0,41347.0,351857.0,22471.0,97878.0,97509.0,114247.0,110614.0,3633.0,89981.0,77632.0,12349.0,53750.0,42599.0,11151.0,102660.0,19236.0,83424.0,117204.0,107861.0,9343.0,105764.0,104845.0,59109.0,16313.0,42797.0
2022-02-01,1842072.0,130538.0,1476018.0,106560.0,366054.0,23978.0,944001.0,65180.0,933905.0,64429.0,10096.0,751.0,898071.0,65358.0,542113.0,42131.0,355958.0,23227.0,100267.0,99889.0,117550.0,113761.0,3789.0,91203.0,78285.0,12919.0,54832.0,43639.0,11193.0,102325.0,19064.0,83260.0,117939.0,108518.0,9421.0,106936.0,106074.0,59618.0,16549.0,43069.0
2022-03-01,1877402.0,148686.0,1506195.0,122206.0,371207.0,26479.0,966643.0,78110.0,956911.0,77331.0,9732.0,779.0,910759.0,70576.0,549284.0,44876.0,361475.0,25700.0,104096.0,103706.0,118580.0,114574.0,4006.0,91880.0,78798.0,13082.0,55515.0,44152.0,11363.0,102467.0,19117.0,83350.0,118680.0,109045.0,9635.0,109107.0,108361.0,59675.0,16439.0,43236.0
2022-04-01,1913147.0,158117.0,1537502.0,128716.0,375645.0,29401.0,977864.0,82250.0,968119.0,81439.0,9745.0,811.0,935283.0,75867.0,569383.0,47277.0,365900.0,28590.0,111586.0,111085.0,123388.0,119532.0,3856.0,94291.0,81447.0,12844.0,56857.0,45429.0,11428.0,103422.0,19937.0,83485.0,120112.0,110278.0,9833.0,113200.0,112514.0,59500.0,16643.0,42856.0
2022-05-01,1923964.0,167862.0,1553806.0,135661.0,370158.0,32201.0,986455.0,88002.0,976620.0,87168.0,9835.0,834.0,937509.0,79860.0,577187.0,48493.0,360322.0,31367.0,116068.0,115492.0,126226.0,122078.0,4149.0,94258.0,81055.0,13203.0,57313.0,45606.0,11706.0,103137.0,19949.0,83188.0,119327.0,109808.0,9518.0,107943.0,107254.0,59438.0,17063.0,42375.0
2022-06-01,1920269.0,174750.0,1541148.0,138532.0,379121.0,36218.0,965072.0,89189.0,955222.0,88297.0,9850.0,891.0,955197.0,85562.0,585925.0,50235.0,369272.0,35327.0,116675.0,116021.0,130679.0,126366.0,4313.0,93947.0,81177.0,12770.0,58047.0,46285.0,11762.0,105688.0,19741.0,85947.0,122394.0,112665.0,9728.0,110459.0,109786.0,60712.0,17478.0,43234.0
2022-07-01,1923856.0,176177.0,1536020.0,138366.0,387836.0,37811.0,941413.0,87741.0,931116.0,86838.0,10297.0,903.0,982443.0,88436.0,604904.0,51528.0,377539.0,36908.0,127042.0,126354.0,135657.0,131204.0,4453.0,94426.0,81730.0,12696.0,58798.0,46833.0,11966.0,104873.0,20161.0,84712.0,123542.0,113386.0,10157.0,116570.0,115709.0,61012.0,17950.0,43063.0
2022-08-01,1918061.0,177867.0,1525685.0,138500.0,392376.0,39367.0,926000.0,86651.0,915965.0,85738.0,10035.0,913.0,992061.0,91215.0,609720.0,52762.0,382341.0,38453.0,128104.0,127534.0,136626.0,132161.0,4465.0,96496.0,83674.0,12822.0,59248.0,47181.0,12067.0,103570.0,19617.0,83953.0,123564.0,113202.0,10362.0,121236.0,120251.0,61397.0,18267.0,43130.0
2022-09-01,1917890.0,171905.0,1524313.0,133784.0,393577.0,38121.0,905957.0,80507.0,896034.0,79605.0,9923.0,902.0,1011933.0,91398.0,628279.0,54178.0,383654.0,37220.0,139493.0,138747.0,138721.0,134222.0,4499.0,98664.0,85837.0,12827.0,59188.0,47576.0,11612.0,103021.0,20037.0,82984.0,123502.0,112100.0,11403.0,123433.0,122511.0,63566.0,20160.0,43406.0
2022-10-01,1914367.0,166908.0,1520266.0,130913.0,394101.0,35995.0,896555.0,77126.0,886686.0,76286.0,9869.0,840.0,1017812.0,89782.0,633579.0,54627.0,384233.0,35155.0,141436.0,140746.0,143318.0,138580.0,4738.0,97759.0,84657.0,13103.0,60479.0,48120.0,12359.0,104181.0,20996.0,83185.0,122313.0,110377.0,11936.0,121803.0,120678.0,62803.0,19900.0,42903.0
2022-11-01,1919538.0,157933.0,1522761.0,125498.0,396777.0,32435.0,883475.0,71684.0,873088.0,70810.0,10386.0,875.0,1036064.0,86249.0,649673.0,54688.0,386391.0,31560.0,153107.0,152488.0,143462.0,138707.0,4755.0,99550.0,85716.0,13834.0,61177.0,48942.0,12235.0,106419.0,21233.0,85186.0,124129.0,111798.0,12331.0,119009.0,117931.0,61699.0,19488.0,42211.0
2022-12-01,1926876.0,144009.0,1523013.0,115720.0,403864.0,28290.0,869609.0,62196.0,859107.0,61396.0,10502.0,800.0,1057267.0,81813.0,663906.0,54324.0,393362.0,27490.0,159231.0,158606.0,146348.0,141414.0,4934.0,101151.0,87411.0,13740.0,62023.0,49426.0,12597.0,107602.0,21076.0,86526.0,126445.0,113801.0,12644.0,123175.0,122108.0,62658.0,19687.0,42971.0
2023-01-01,1957618.0,139736.0,1546332.0,113295.0,411286.0,26441.0,864057.0,60069.0,853653.0,59323.0,10404.0,746.0,1093560.0,79667.0,692679.0,53972.0,400881.0,25695.0,172097.0,171641.0,147069.0,142224.0,4845.0,102183.0,87862.0,14321.0,62640.0,49504.0,13136.0,110102.0,21684.0,88419.0,136561.0,123470.0,13091.0,124112.0,123092.0,64061.0,19117.0,44944.0
2023-02-01,1971178.0,141283.0,1551988.0,113827.0,419190.0,27456.0,857255.0,59729.0,846931.0,58961.0,10325.0,768.0,1113923.0,81554.0,705057.0,54866.0,408865.0,26688.0,179099.0,178626.0,146646.0,141871.0,4775.0,103304.0,88818.0,14486.0,65596.0,52415.0,13181.0,111764.0,21783.0,89981.0,137757.0,124265.0,13492.0,125126.0,124230.0,63675.0,19094.0,44580.0
2023-03-01,2000432.0,157866.0,1569695.0,127143.0,430737.0,30723.0,859937.0,69192.0,849744.0,68367.0,10192.0,826.0,1140495.0,88674.0,719951.0,58776.0,420545.0,29898.0,187446.0,186920.0,148856.0,143992.0,4864.0,103327.0,88688.0,14639.0,65921.0,52854.0,13067.0,115423.0,22337.0,93086.0,141467.0,126680.0,14787.0,130190.0,129330.0,63747.0,19727.0,44020.0
2023-04-01,2028917.0,166932.0,1591361.0,132715.0,437556.0,34217.0,862197.0,72373.0,851416.0,71497.0,10781.0,876.0,1166719.0,94560.0,739944.0,61219.0,426775.0,33341.0,199222.0,198793.0,152839.0,147912.0,4926.0,102616.0,87516.0,15100.0,66600.0,53701.0,12898.0,115859.0,23461.0,92398.0,142836.0,127820.0,15016.0,134838.0,133794.0,66126.0,21246.0,44880.0
2023-05-01,2053902.0,179139.0,1603718.0,139807.0,450183.0,39332.0,870459.0,78215.0,859643.0,77273.0,10816.0,942.0,1183442.0,100923.0,744075.0,62533.0,439367.0,38390.0,197639.0,197205.0,155003.0,150096.0,4907.0,103423.0,88366.0,15057.0,66044.0,53265.0,12780.0,120654.0,23392.0,97262.0,145796.0,130058.0,15738.0,138343.0,137406.0,65882.0,21053.0,44829.0
2023-06-01,2074232.0,188191.0,1616371.0,144450.0,457862.0,43741.0,878256.0,81413.0,867410.0,80432.0,10846.0,982.0,1195977.0,106778.0,748961.0,64019.0,447016.0,42759.0,200828.0,200404.0,153773.0,149150.0,4623.0,102602.0,87555.0,15047.0,66066.0,52927.0,13139.0,124620.0,24197.0,100423.0,147976.0,130947.0,17029.0,138935.0,138036.0,65493.0,20921.0,44573.0
2023-07-01,2083615.0,189724.0,1629197.0,145470.0,454418.0,44253.0,889817.0,82756.0,878690.0,81782.0,11127.0,974.0,1193798.0,106968.0,750507.0,63688.0,443291.0,43280.0,202064.0,201682.0,153848.0,149558.0,4289.0,101495.0,86300.0,15195.0,66260.0,53319.0,12942.0,124762.0,23671.0,101091.0,151267.0,133733.0,17534.0,138536.0,137495.0,64398.0,20313.0,44085.0
