date,total,size_1_19,size_20_49,size_50_249,size_250_499,size_500_plus,construction,education_health,financial,information,leisure_hospitality,manufacturing,natural_resources,other_services,professional_business,trade_transport_utilities
2020-01-01,125098000.0,32496000.0,21844000.0,36851000.0,11667000.0,22241000.0,7258000.0,23378000.0,8280000.0,2872000.0,15756000.0,12724000.0,1815000.0,4462000.0,21090000.0,27461000.0
2020-02-01,124969000.0,32485000.0,21844000.0,36816000.0,11655000.0,22169000.0,7265000.0,23413000.0,8302000.0,2875000.0,15721000.0,12707000.0,1802000.0,4457000.0,21069000.0,27359000.0
2020-03-01,124782000.0,32451000.0,21846000.0,36759000.0,11639000.0,22088000.0,7272000.0,23435000.0,8318000.0,2877000.0,15667000.0,12686000.0,1789000.0,4447000.0,21019000.0,27272000.0
2020-04-01,123327000.0,32006000.0,21817000.0,36069000.0,11438000.0,21997000.0,7168000.0,23162000.0,8231000.0,2837000.0,15512000.0,12478000.0,1762000.0,4343000.0,20687000.0,27147000.0
2020-05-01,121499000.0,31589000.0,21678000.0,35162000.0,11147000.0,21923000.0,7035000.0,22800000.0,8089000.0,2766000.0,15345000.0,12188000.0,1734000.0,4211000.0,20216000.0,27113000.0
2020-06-01,119957000.0,31423000.0,21432000.0,34378000.0,10881000.0,21844000.0,6934000.0,22479000.0,7979000.0,2703000.0,15133000.0,11950000.0,1711000.0,4102000.0,19814000.0,27152000.0
2020-07-01,119115000.0,31639000.0,21114000.0,34101000.0,10766000.0,21755000.0,6928000.0,22354000.0,7762000.0,2690000.0,14840000.0,11898000.0,1693000.0,4058000.0,19682000.0,27211000.0
2020-08-01,118758000.0,31745000.0,21027000.0,33982000.0,10730000.0,21644000.0,6928000.0,22293000.0,7755000.0,2697000.0,14612000.0,11899000.0,1680000.0,4029000.0,19683000.0,27182000.0
2020-09-01,118978000.0,31834000.0,20991000.0,33921000.0,10724000.0,21558000.0,6926000.0,22284000.0,8046000.0,2699000.0,14412000.0,11896000.0,1672000.0,4016000.0,19739000.0,27289000.0
2020-10-01,119197000.0,31909000.0,21085000.0,33977000.0,10764000.0,21462000.0,6939000.0,22343000.0,7973000.0,2704000.0,14179000.0,11921000.0,1667000.0,3997000.0,19878000.0,27595000.0
2020-11-01,119424000.0,31990000.0,21219000.0,34054000.0,10807000.0,21355000.0,6982000.0,22413000.0,7971000.0,2713000.0,14000000.0,11970000.0,1667000.0,3990000.0,20021000.0,27696000.0
