date,total,size_1_19,size_20_49,size_50_249,size_250_499,size_500_plus,construction,education_health,financial,information,leisure_hospitality,manufacturing,natural_resources,other_services,professional_business,trade_transport_utilities
2020-12-01,119612000.0,32150000.0,21274000.0,34062000.0,10852000.0,21273000.0,7033000.0,22493000.0,8041000.0,2730000.0,13779000.0,12034000.0,1667000.0,3995000.0,20166000.0,27673000.0
2021-01-01,119529000.0,32343000.0,21070000.0,33973000.0,10901000.0,21243000.0,7076000.0,22557000.0,8117000.0,2743000.0,13446000.0,12100000.0,1663000.0,4007000.0,20331000.0,27489000.0
2021-02-01,119330000.0,32483000.0,20787000.0,33884000.0,10931000.0,21245000.0,7097000.0,22578000.0,8166000.0,2749000.0,13187000.0,12138000.0,1657000.0,4009000.0,20455000.0,27293000.0
2021-03-01,119262000.0,32623000.0,20671000.0,33798000.0,10954000.0,21216000.0,7120000.0,22604000.0,8213000.0,2754000.0,13008000.0,12173000.0,1650000.0,4010000.0,20604000.0,27126000.0
2021-04-01,119308000.0,32793000.0,20688000.0,33706000.0,10961000.0,21159000.0,7151000.0,22644000.0,8263000.0,2758000.0,13038000.0,12193000.0,1648000.0,4021000.0,20743000.0,26849000.0
2021-05-01,119380000.0,32907000.0,20786000.0,33644000.0,10955000.0,21089000.0,7174000.0,22665000.0,8282000.0,2763000.0,13225000.0,12192000.0,1653000.0,4032000.0,20817000.0,26577000.0
2021-06-01,119592000.0,33062000.0,20926000.0,33628000.0,10922000.0,21055000.0,7196000.0,22684000.0,8295000.0,2771000.0,13486000.0,12200000.0,1664000.0,4047000.0,20898000.0,26350000.0
2021-07-01,120165000.0,33217000.0,21226000.0,33771000.0,10885000.0,21067000.0,7224000.0,22711000.0,8315000.0,2787000.0,13791000.0,12243000.0,1675000.0,4066000.0,21018000.0,26335000.0
2021-08-01,120762000.0,33249000.0,21429000.0,33998000.0,10887000.0,21199000.0,7237000.0,22730000.0,8331000.0,2801000.0,14037000.0,12277000.0,1678000.0,4081000.0,21099000.0,26489000.0
2021-09-01,121476000.0,33209000.0,21620000.0,34302000.0,10992000.0,21352000.0,7248000.0,22784000.0,8356000.0,2827000.0,14303000.0,12320000.0,1685000.0,4105000.0,21224000.0,26624000.0
2021-10-01,122155000.0,33342000.0,21720000.0,34510000.0,11086000.0,21496000.0,7262000.0,22850000.0,8379000.0,2856000.0,14460000.0,12366000.0,1691000.0,4129000.0,21381000.0,26780000.0
2021-11-01,123013000.0,33615000.0,21824000.0,34747000.0,11167000.0,21659000.0,7284000.0,22912000.0,8405000.0,2888000.0,14584000.0,12426000.0,1684000.0,4158000.0,21568000.0,27105000.0
2021-12-01,123960000.0,33932000.0,21931000.0,35059000.0,11201000.0,21837000.0,7313000.0,22967000.0,8441000.0,2920000.0,14709000.0,12509000.0,1671000.0,4200000.0,21745000.0,27486000.0
2022-01-01,124431000.0,33887000.0,21996000.0,35332000.0,11231000.0,21984000.0,7325000.0,22993000.0,8460000.0,2939000.0,14791000.0,12554000.0,1663000.0,4227000.0,21816000.0,27663000.0
2022-02-01,125015000.0,33884000.0,22023000.0,35600000.0,11350000.0,22158000.0,7347000.0,23022000.0,8473000.0,2954000.0,14864000.0,12585000.0,1665000.0,4250000.0,21897000.0,27958000.0
2022-03-01,125613000.0,33905000.0,22058000.0,35843000.0,11477000.0,22331000.0,7384000.0,23073000.0,8484000.0,2975000.0,14944000.0,12617000.0,1670000.0,4274000.0,22021000.0,28171000.0
2022-04-01,126298000.0,33975000.0,22116000.0,36106000.0,11584000.0,22518000.0,7436000.0,23146000.0,8494000.0,3003000.0,15106000.0,12653000.0,1686000.0,4308000.0,22161000.0,28305000.0
2022-05-01,126601000.0,34000000.0,22179000.0,36265000.0,11580000.0,22578000.0,7472000.0,23212000.0,8505000.0,3024000.0,15247000.0,12683000.0,1706000.0,4332000.0,22249000.0,28171000.0
2022-06-01,127139000.0,34179000.0,22328000.0,36392000.0,11626000.0,22613000.0,7515000.0,23302000.0,8536000.0,3036000.0,15415000.0,12736000.0,1727000.0,4362000.0,22386000.0,28124000.0
2022-07-01,127548000.0,34344000.0,22462000.0,36442000.0,11681000.0,22620000.0,7547000.0,23382000.0,8574000.0,3038000.0,15519000.0,12788000.0,1735000.0,4387000.0,22490000.0,28088000.0
2022-08-01,127913000.0,34522000.0,22469000.0,36505000.0,11732000.0,22685000.0,7574000.0,23455000.0,8602000.0,3032000.0,15589000.0,12823000.0,1737000.0,4403000.0,22561000.0,28136000.0
2022-09-01,128252000.0,34694000.0,22534000.0,36583000.0,11719000.0,22722000.0,7599000.0,23561000.0,8622000.0,3038000.0,15641000.0,12842000.0,1742000.0,4417000.0,22631000.0,28159000.0
2022-10-01,128503000.0,34725000.0,22593000.0,36758000.0,11712000.0,22716000.0,7618000.0,23678000.0,8631000.0,3041000.0,15686000.0,12855000.0,1746000.0,4431000.0,22694000.0,28123000.0
2022-11-01,128772000.0,34647000.0,22664000.0,36967000.0,11741000.0,22753000.0,7631000.0,23795000.0,8626000.0,3044000.0,15738000.0,12865000.0,1751000.0,4447000.0,22731000.0,28144000.0
2022-12-01,128963000.0,34405000.0,22681000.0,37171000.0,11831000.0,22874000.0,7645000.0,23887000.0,8611000.0,3049000.0,15816000.0,12874000.0,1739000.0,4456000.0,22726000.0,28161000.0
2023-01-01,129150000.0,34399000.0,22668000.0,37267000.0,11879000.0,22936000.0,7659000.0,23936000.0,8604000.0,3054000.0,15902000.0,12879000.0,1725000.0,4462000.0,22723000.0,28205000.0
2023-02-01,129300000.0,34421000.0,22624000.0,37389000.0,11864000.0,23002000.0,7670000.0,24001000.0,8610000.0,3054000.0,15996000.0,12886000.0,1717000.0,4478000.0,22685000.0,28202000.0
2023-03-01,129376000.0,34440000.0,22607000.0,37450000.0,11830000.0,23048000.0,7677000.0,24064000.0,8621000.0,3049000.0,16028000.0,12885000.0,1717000.0,4495000.0,22623000.0,28216000.0
2023-04-01,129467000.0,34423000.0,22624000.0,37515000.0,11816000.0,23089000.0,7691000.0,24136000.0,8635000.0,3035000.0,16044000.0,12884000.0,1713000.0,4504000.0,22560000.0,28264000.0
2023-05-01,129827000.0,34672000.0,22626000.0,37535000.0,11836000.0,23156000.0,7706000.0,24211000.0,8648000.0,3019000.0,16063000.0,12881000.0,1710000.0,4509000.0,22535000.0,28546000.0
2023-06-01,130310000.0,34985000.0,22653000.0,37585000.0,11869000.0,23218000.0,7727000.0,24301000.0,8665000.0,2993000.0,16086000.0,12878000.0,1717000.0,4519000.0,22515000.0,28909000.0
2023-07-01,130579000.0,35172000.0,22699000.0,37598000.0,11898000.0,23213000.0,7743000.0,24379000.0,8675000.0,2979000.0,16073000.0,12879000.0,1727000.0,4537000.0,22508000.0,29080000.0
2023-08-01,130695000.0,35230000.0,22769000.0,37587000.0,11918000.0,23191000.0,7761000.0,24469000.0,8677000.0,2972000.0,16034000.0,12882000.0,1730000.0,4553000.0,22504000.0,29112000.0
2023-09-01,130732000.0,35306000.0,22780000.0,37537000.0,11889000.0,23221000.0,7773000.0,24565000.0,8675000.0,2964000.0,15985000.0,12876000.0,1733000.0,4552000.0,22471000.0,29140000.0
2023-10-01,130703000.0,35308000.0,22746000.0,37497000.0,11861000.0,23291000.0,7780000.0,24628000.0,8678000.0,2962000.0,15960000.0,12865000.0,1735000.0,4548000.0,22422000.0,29127000.0
2023-11-01,130808000.0,35308000.0,22702000.0,37506000.0,11853000.0,23438000.0,7793000.0,24705000.0,8684000.0,2963000.0,15943000.0,12840000.0,1741000.0,4553000.0,22373000.0,29215000.0
2023-12-01,131090000.0,35386000.0,22699000.0,37579000.0,11878000.0,23547000.0,7811000.0,24785000.0,8685000.0,2964000.0,15967000.0,12822000.0,1739000.0,4560000.0,22386000.0,29371000.0
2024-01-01,131330000.0,35534000.0,22695000.0,37634000.0,11905000.0,23563000.0,7834000.0,24878000.0,8691000.0,2974000.0,16018000.0,12822000.0,1735000.0,4567000.0,22423000.0,29388000.0
2024-02-01,131223000.0,35646000.0,22659000.0,37638000.0,11869000.0,23412000.0,7853000.0,25000000.0,8698000.0,2996000.0,16098000.0,12835000.0,1726000.0,4579000.0,22457000.0,28981000.0
2024-03-01,131120000.0,35732000.0,22619000.0,37621000.0,11832000.0,23316000.0,7859000.0,25079000.0,8700000.0,3011000.0,16162000.0,12840000.0,1721000.0,4588000.0,22464000.0,28697000.0
2024-04-01,131164000.0,35820000.0,22603000.0,37612000.0,11823000.0,23307000.0,7864000.0,25143000.0,8697000.0,3010000.0,16217000.0,12834000.0,1714000.0,4592000.0,22452000.0,28642000.0
2024-05-01,131365000.0,35795000.0,22628000.0,37638000.0,11879000.0,23426000.0,7879000.0,25211000.0,8693000.0,2996000.0,16267000.0,12806000.0,1707000.0,4594000.0,22423000.0,28791000.0
2024-06-01,131469000.0,35663000.0,22666000.0,37696000.0,11910000.0,23535000.0,7896000.0,25272000.0,8689000.0,2970000.0,16280000.0,12775000.0,1707000.0,4602000.0,22376000.0,28902000.0
2024-07-01,131589000.0,35579000.0,22710000.0,37759000.0,11928000.0,23614000.0,7915000.0,25334000.0,8681000.0,2933000.0,16273000.0,12748000.0,1707000.0,4609000.0,22333000.0,29057000.0
2024-08-01,131635000.0,35568000.0,22771000.0,37764000.0,11923000.0,23610000.0,7925000.0,25411000.0,8669000.0,2885000.0,16243000.0,12733000.0,1696000.0,4614000.0,22274000.0,29185000.0
2024-09-01,131614000.0,35548000.0,22767000.0,37728000.0,11919000.0,23652000.0,7928000.0,25472000.0,8664000.0,2862000.0,16223000.0,12724000.0,1681000.0,4607000.0,22249000.0,29205000.0
2024-10-01,131602000.0,35544000.0,22736000.0,37679000.0,11921000.0,23721000.0,7935000.0,25542000.0,8665000.0,2845000.0,16215000.0,12707000.0,1665000.0,4601000.0,22260000.0,29168000.0
2024-11-01,131704000.0,35607000.0,22686000.0,37673000.0,11924000.0,23814000.0,7947000.0,25629000.0,8678000.0,2835000.0,16205000.0,12685000.0,1649000.0,4618000.0,22310000.0,29149000.0
2024-12-01,131861000.0,35713000.0,22667000.0,37716000.0,11923000.0,23842000.0,7963000.0,25692000.0,8689000.0,2842000.0,16220000.0,12668000.0,1640000.0,4634000.0,22345000.0,29168000.0
2025-01-01,132001000.0,35818000.0,22643000.0,37737000.0,11917000.0,23886000.0,7972000.0,25751000.0,8695000.0,2850000.0,16247000.0,12642000.0,1636000.0,4634000.0,22293000.0,29282000.0
2025-02-01,132015000.0,35878000.0,22607000.0,37718000.0,11911000.0,23901000.0,7990000.0,25798000.0,8698000.0,2845000.0,16267000.0,12627000.0,1640000.0,4626000.0,22255000.0,29270000.0
2025-03-01,131962000.0,35921000.0,22562000.0,37679000.0,11904000.0,23896000.0,8000000.0,25860000.0,8694000.0,2831000.0,16280000.0,12617000.0,1645000.0,4617000.0,22241000.0,29176000.0
2025-04-01,131939000.0,36001000.0,22524000.0,37642000.0,11908000.0,23864000.0,8015000.0,25933000.0,8685000.0,2814000.0,16308000.0,12610000.0,1656000.0,4609000.0,22261000.0,29046000.0
2025-05-01,131915000.0,35989000.0,22517000.0,37621000.0,11931000.0,23857000.0,8022000.0,26014000.0,8669000.0,2798000.0,16323000.0,12584000.0,1667000.0,4607000.0,22245000.0,28987000.0
2025-06-01,131914000.0,35930000.0,22535000.0,37618000.0,11951000.0,23881000.0,8028000.0,26065000.0,8675000.0,2794000.0,16321000.0,12561000.0,1672000.0,4616000.0,22203000.0,28978000.0
2025-07-01,131991000.0,35931000.0,22558000.0,37607000.0,11951000.0,23945000.0,8029000.0,26088000.0,8688000.0,2802000.0,16366000.0,12538000.0,1678000.0,4624000.0,22164000.0,29014000.0
2025-08-01,132040000.0,36013000.0,22594000.0,37540000.0,11931000.0,23973000.0,8023000.0,26120000.0,8691000.0,2817000.0,16406000.0,12520000.0,1662000.0,4637000.0,22140000.0,29024000.0
2025-09-01,132128000.0,36072000.0,22577000.0,37541000.0,11925000.0,24021000.0,8016000.0,26164000.0,8672000.0,2807000.0,16399000.0,12508000.0,1644000.0,4690000.0,22239000.0,28988000.0
2025-10-01,132148000.0,36156000.0,22554000.0,37454000.0,11933000.0,24080000.0,8013000.0,26235000.0,8657000.0,2823000.0,16366000.0,12506000.0,1615000.0,4754000.0,22264000.0,28915000.0
2025-11-01,132222000.0,36205000.0,22523000.0,37430000.0,11941000.0,24142000.0,8007000.0,26294000.0,8665000.0,2813000.0,16361000.0,12498000.0,1621000.0,4707000.0,22304000.0,28951000.0
2025-12-01,132259000.0,36239000.0,22505000.0,37435000.0,11944000.0,24157000.0,8006000.0,26334000.0,8683000.0,2802000.0,16379000.0,12491000.0,1625000.0,4686000.0,22296000.0,28957000.0
2026-01-01,132281000.0,36269000.0,22475000.0,37472000.0,11948000.0,24139000.0,8015000.0,26408000.0,8697000.0,2797000.0,16383000.0,12483000.0,1625000.0,4673000.0,22239000.0,28961000.0
