Date,toUSD,toKRW,currency
2004-03-24,0.0312275563553254,36.93595518186194,TWD
2004-03-25,0.0312470721961562,36.98090994415091,TWD
2004-03-26,0.0312392599552022,36.99665709030051,TWD
2004-03-27,0.0312392599552022,36.99665709030051,TWD
2004-03-28,0.0312714985289593,36.90662103694917,TWD
2004-03-29,0.0312969457469384,36.88970842374516,TWD
2004-03-30,0.031572632507223,36.82316283480674,TWD
2004-03-31,0.0315089647851163,36.59766259791261,TWD
2004-04-01,0.0315477317636488,37.355668411128285,TWD
2004-04-02,0.0315477317636488,37.355668411128285,TWD
2004-04-03,0.0315477317636488,37.355668411128285,TWD
2004-04-04,0.0315397722743836,37.70264454681219,TWD
2004-04-05,0.0315020166438763,37.29208884120517,TWD
2004-04-06,0.0316015683368062,35.769815971953705,TWD
2004-04-07,0.0315776185148458,35.82480820509262,TWD
2004-04-08,0.0315776185148458,35.79954456840484,TWD
2004-04-09,0.0315776185148458,35.79954456840484,TWD
2004-04-10,0.0315776185148458,35.79954456840484,TWD
2004-04-11,0.0315776185148458,35.840597014350045,TWD
2004-04-12,0.0317138149519754,36.22351788962021,TWD
2004-04-13,0.0315885906123163,36.58906604865766,TWD
2004-04-14,0.0315059863645604,36.30119595086828,TWD
2004-04-15,0.0313381386644255,36.3835789893981,TWD
2004-04-16,0.0313381386644255,36.3835789893981,TWD
2004-04-17,0.0313381386644255,36.3835789893981,TWD
2004-04-18,0.0315826041950103,36.50633296007218,TWD
2004-04-19,0.0315606759304156,36.59775903838565,TWD
2004-04-20,0.0315129362572413,36.51088717828105,TWD
2004-04-21,0.0314297393765738,36.43649839391735,TWD
2004-04-22,0.031399146364455,36.31939106660365,TWD
2004-04-23,0.031399146364455,36.31939106660365,TWD
2004-04-24,0.031399146364455,36.31939106660365,TWD
2004-04-25,0.0314544541318407,35.905259391496266,TWD
2004-04-26,0.0314307266934748,36.22391251422973,TWD
2004-04-27,0.0314524746909167,35.99735728375419,TWD
2004-04-28,0.0312275563553254,36.52374915079711,TWD
2004-04-29,0.03123048050293,36.311678155830975,TWD
2004-04-30,0.03123048050293,36.311678155830975,TWD
2004-05-01,0.03123048050293,36.311678155830975,TWD
2004-05-02,0.0311915145715836,36.18527529298266,TWD
2004-05-03,0.0312373093664263,36.62262226382791,TWD
2004-05-04,0.0312529302155512,36.497173431742674,TWD
2004-05-05,0.0312392599552022,36.41873078112927,TWD
2004-05-06,0.0311876255519527,36.17140963798803,TWD
2004-05-07,0.0311876255519527,36.17140963798803,TWD
2004-05-08,0.0311876255519527,36.17140963798803,TWD
2004-05-09,0.0309645473509143,36.49171905305258,TWD
2004-05-10,0.0308527717698268,36.56979188525872,TWD
2004-05-11,0.0310337340799752,36.26291827245105,TWD
2004-05-12,0.0309233706879843,36.696762485500834,TWD
2004-05-13,0.0308737270405627,36.62859051467675,TWD
2004-05-14,0.0308737270405627,36.62859051467675,TWD
2004-05-15,0.0308737270405627,36.62859051467675,TWD
2004-05-16,0.0308005060257696,36.34767640904525,TWD
2004-05-17,0.0308346954311615,36.49902747626562,TWD
2004-05-18,0.0309377205830893,36.30850812099823,TWD
2004-05-19,0.0309377205830893,36.32088396454691,TWD
2004-05-20,0.0309472970166783,36.29189370036027,TWD
2004-05-21,0.0309472970166783,36.29189370036027,TWD
2004-05-22,0.0309472970166783,36.29189370036027,TWD
2004-05-23,0.0309568757249317,36.51053998576766,TWD
2004-05-24,0.0309205037650983,36.483103147334646,TWD
2004-05-25,0.0309578372122546,36.50857893602511,TWD
2004-05-26,0.0309760546013462,36.20791097976496,TWD
2004-05-27,0.031036622039525,36.11731555193529,TWD
2004-05-28,0.031036622039525,36.11731555193529,TWD
2004-05-29,0.031036622039525,36.11731555193529,TWD
2004-05-30,0.031036622039525,35.98386035035542,TWD
2004-05-31,0.0310318090721732,35.93483490557662,TWD
2004-06-01,0.0309252859135549,36.052699828046045,TWD
2004-06-02,0.0309147678680008,35.97860835428958,TWD
2004-06-03,0.0308994849692931,35.98862863497178,TWD
2004-06-04,0.0308994849692931,35.98862863497178,TWD
2004-06-05,0.0308994849692931,35.98862863497178,TWD
2004-06-06,0.0309731779018833,35.84215995569724,TWD
2004-06-07,0.0310087129202891,35.718937169929745,TWD
2004-06-08,0.0310318090721732,35.82001872723463,TWD
2004-06-09,0.0309453827169121,35.874983694721266,TWD
2004-06-10,0.0309300658920463,35.99950444688131,TWD
2004-06-11,0.0309300658920463,35.99950444688131,TWD
2004-06-12,0.0309300658920463,35.99950444688131,TWD
2004-06-13,0.0308423029838831,35.869598370256114,TWD
2004-06-14,0.0308213903345952,35.82986626396694,TWD
2004-06-15,0.0308213903345952,35.65726723056856,TWD
2004-06-16,0.0307976582200555,35.80535669474058,TWD
2004-06-17,0.0307493620373047,35.62928429119133,TWD
2004-06-18,0.0307493620373047,35.62928429119133,TWD
2004-06-19,0.0307493620373047,35.62928429119133,TWD
2004-06-20,0.0307266878556535,35.46781729210748,TWD
2004-06-21,0.0307427448276185,35.48635185563069,TWD
2004-06-22,0.0307399112972316,35.62141071220429,TWD
2004-06-23,0.030809045361966,35.46737151634744,TWD
2004-06-24,0.0308537231697991,35.28740168276986,TWD
2004-06-25,0.0308537231697991,35.28740168276986,TWD
2004-06-26,0.0308537231697991,35.28740168276986,TWD
2004-06-27,0.0307701770238295,35.444167664974294,TWD
2004-06-28,0.0307578730341321,35.38078285301143,TWD
2004-06-29,0.0307285751930148,35.51301285014849,TWD
2004-06-30,0.0307682845728292,35.47275603519367,TWD
