Date,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,trailingAnnualDividendYield,symbol,currency,quoteType
2025-09-05,23.88641,,,,,1617.T,JPY,ETF
2025-09-06,23.88641,,,,,1617.T,JPY,ETF
2025-09-10,23.904207,,,,,1617.T,JPY,ETF
2025-10-30,24.014719,,,,,1617.T,JPY,ETF
2025-11-06,23.907803,,,,,1617.T,JPY,ETF
2025-11-09,23.955322,,,,,1617.T,JPY,ETF
2025-11-10,24.596823,,,,,1617.T,JPY,ETF
2025-11-11,24.650282,,,,,1617.T,JPY,ETF
2025-11-12,24.763138,,,,,1617.T,JPY,ETF
2025-11-13,24.923513,,,,,1617.T,JPY,ETF
2025-11-17,24.567123,,,,,1617.T,JPY,ETF
2025-11-18,24.614641,,,,,1617.T,JPY,ETF
2025-11-19,24.911633,,,,,1617.T,JPY,ETF
2025-11-20,24.6978,,,,,1617.T,JPY,ETF
2025-11-24,25.042309,,,,,1617.T,JPY,ETF
2025-11-25,25.05419,,,,,1617.T,JPY,ETF
2025-11-26,25.172985,,,,,1617.T,JPY,ETF
2025-11-27,24.953213,,,,,1617.T,JPY,ETF
2025-11-30,24.923513,,,,,1617.T,JPY,ETF
2025-12-01,24.632462,,,,,1617.T,JPY,ETF
2025-12-02,24.626522,,,,,1617.T,JPY,ETF
2025-12-03,24.400808,,,,,1617.T,JPY,ETF
2025-12-04,24.561184,,,,,1617.T,JPY,ETF
2025-12-07,24.573063,,,,,1617.T,JPY,ETF
2025-12-08,23.006872,,,,,1617.T,JPY,ETF
2025-12-09,22.750868,,,,,1617.T,JPY,ETF
2025-12-10,22.85661,,,,,1617.T,JPY,ETF
2025-12-11,23.123743,,,,,1617.T,JPY,ETF
2025-12-14,23.095915,,,,,1617.T,JPY,ETF
2025-12-15,22.97348,,,,,1617.T,JPY,ETF
2025-12-16,23.040262,,,,,1617.T,JPY,ETF
2025-12-18,22.78426,,,,,1617.T,JPY,ETF
2025-12-22,22.923391,,,,,1617.T,JPY,ETF
2025-12-23,23.018002,,,,,1617.T,JPY,ETF
2025-12-24,23.001307,,,,,1617.T,JPY,ETF
2026-01-04,23.023567,,,,,1617.T,JPY,ETF
2026-01-06,23.05696,,,,,1617.T,JPY,ETF
