file,symbol_file,price_file,rows_before,rows_after,removed,changed,status,reason,run_at
/home/jyp0615/global_universe/data/valuations/1617.T.csv,1617.T.csv,/home/jyp0615/global_universe/data/daily/1617.T.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/1618.T.csv,1618.T.csv,/home/jyp0615/global_universe/data/daily/1618.T.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/1619.T.csv,1619.T.csv,/home/jyp0615/global_universe/data/daily/1619.T.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/1620.T.csv,1620.T.csv,/home/jyp0615/global_universe/data/daily/1620.T.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/1621.T.csv,1621.T.csv,/home/jyp0615/global_universe/data/daily/1621.T.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/1622.T.csv,1622.T.csv,/home/jyp0615/global_universe/data/daily/1622.T.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/1623.T.csv,1623.T.csv,/home/jyp0615/global_universe/data/daily/1623.T.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/1624.T.csv,1624.T.csv,/home/jyp0615/global_universe/data/daily/1624.T.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/1625.T.csv,1625.T.csv,/home/jyp0615/global_universe/data/daily/1625.T.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/1626.T.csv,1626.T.csv,/home/jyp0615/global_universe/data/daily/1626.T.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/1627.T.csv,1627.T.csv,/home/jyp0615/global_universe/data/daily/1627.T.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/1628.T.csv,1628.T.csv,/home/jyp0615/global_universe/data/daily/1628.T.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/1629.T.csv,1629.T.csv,/home/jyp0615/global_universe/data/daily/1629.T.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/1630.T.csv,1630.T.csv,/home/jyp0615/global_universe/data/daily/1630.T.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/1631.T.csv,1631.T.csv,/home/jyp0615/global_universe/data/daily/1631.T.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/1632.T.csv,1632.T.csv,/home/jyp0615/global_universe/data/daily/1632.T.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/1633.T.csv,1633.T.csv,/home/jyp0615/global_universe/data/daily/1633.T.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/ACWX.csv,ACWX.csv,/home/jyp0615/global_universe/data/daily/ACWX.csv,1,1,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/ASHR.csv,ASHR.csv,/home/jyp0615/global_universe/data/daily/ASHR.csv,1,1,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/CEMQ.DE.csv,CEMQ.DE.csv,/home/jyp0615/global_universe/data/daily/CEMQ.DE.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/CEMR.DE.csv,CEMR.DE.csv,/home/jyp0615/global_universe/data/daily/CEMR.DE.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/CHIC.csv,CHIC.csv,/home/jyp0615/global_universe/data/daily/CHIC.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/CHIE.csv,CHIE.csv,/home/jyp0615/global_universe/data/daily/CHIE.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/CHIH.csv,CHIH.csv,/home/jyp0615/global_universe/data/daily/CHIH.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/CHII.csv,CHII.csv,/home/jyp0615/global_universe/data/daily/CHII.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/CHIM.csv,CHIM.csv,/home/jyp0615/global_universe/data/daily/CHIM.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/CHIQ.csv,CHIQ.csv,/home/jyp0615/global_universe/data/daily/CHIQ.csv,1,1,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/CHIR.csv,CHIR.csv,/home/jyp0615/global_universe/data/daily/CHIR.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/CHIS.csv,CHIS.csv,/home/jyp0615/global_universe/data/daily/CHIS.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/CHIU.csv,CHIU.csv,/home/jyp0615/global_universe/data/daily/CHIU.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/CHIX.csv,CHIX.csv,/home/jyp0615/global_universe/data/daily/CHIX.csv,0,0,0,False,ok,,2025-09-09T14:32:38+09:00
/home/jyp0615/global_universe/data/valuations/CNXT.csv,CNXT.csv,/home/jyp0615/global_universe/data/daily/CNXT.csv,1,1,0,False,ok,,2025-09-09T14:32:38+09:00
