date,p50,p2_5,p97_5,p16,p84
2010-11-26,-2.46078,-4.212398,-0.622207,-3.311986,-1.543361
2010-12-08,-2.72679,-4.634371,-0.994095,-3.659907,-1.853787
2010-12-15,-2.811928,-4.488482,-0.996537,-3.608569,-1.996141
2010-12-22,-3.008198,-4.718048,-1.173842,-3.825515,-2.175012
2010-12-29,-3.030863,-5.011514,-1.292609,-3.905179,-2.204247
2011-01-10,-3.077485,-4.815246,-1.364453,-3.897387,-2.264752
2011-01-18,-3.020253,-4.689716,-1.232306,-3.864642,-2.232425
2011-01-25,-3.076876,-4.820035,-1.388179,-3.889243,-2.265019
2011-02-04,-2.953965,-4.470715,-1.39702,-3.677899,-2.180116
2011-02-11,-2.872082,-4.171908,-1.550204,-3.515825,-2.199094
2011-02-18,-2.832307,-4.149285,-1.482435,-3.490339,-2.199418
2011-03-03,-2.759157,-3.981605,-1.548846,-3.342569,-2.175743
2011-03-10,-2.705294,-3.849647,-1.496845,-3.310014,-2.118214
2011-03-17,-2.637601,-3.848679,-1.356731,-3.211897,-2.014834
2011-03-24,-2.614299,-3.812074,-1.328727,-3.197839,-2.035832
2011-04-05,-2.735774,-3.99394,-1.494903,-3.347777,-2.121555
2011-04-12,-2.864158,-4.111154,-1.525517,-3.487319,-2.208442
2011-04-19,-2.727189,-3.995067,-1.441204,-3.348717,-2.145538
2011-04-26,-2.508934,-3.72461,-1.136412,-3.102878,-1.83345
2011-05-06,-2.518707,-3.676925,-1.253933,-3.122896,-1.870581
2011-05-13,-2.427865,-3.532851,-1.206539,-3.001551,-1.831798
2011-05-20,-2.423062,-3.59967,-1.06041,-2.997845,-1.773309
2011-06-02,-2.434391,-3.589475,-1.158364,-3.025819,-1.822619
2011-06-09,-2.409096,-3.549562,-1.224669,-3.03261,-1.805716
2011-06-16,-2.273289,-3.48367,-0.9212,-2.881005,-1.643001
2011-06-23,-1.995121,-3.138105,-0.670726,-2.58076,-1.42203
2011-07-06,-2.013513,-3.155778,-0.797417,-2.597162,-1.403771
2011-07-13,-2.086776,-3.1188,-0.930616,-2.653331,-1.538897
2011-07-20,-1.712358,-2.786709,-0.530831,-2.28763,-1.118174
2011-07-27,-1.693547,-2.854032,-0.411797,-2.285202,-1.071271
2011-08-08,-1.713707,-2.897559,-0.579049,-2.307867,-1.13892
2011-08-15,-2.309441,-4.067898,-1.084989,-3.040991,-1.713668
2011-08-22,-2.674525,-5.365139,-0.425729,-3.909147,-1.698112
2011-08-29,-2.116679,-3.324037,-0.921278,-2.732893,-1.529668
2011-09-09,-1.967264,-3.152179,-0.643435,-2.577545,-1.316531
2011-09-16,-1.87715,-3.038828,-0.638394,-2.466425,-1.259396
2011-09-23,-1.643002,-2.790186,-0.408257,-2.252268,-1.031884
2011-10-05,-1.721274,-2.902096,-0.470386,-2.322257,-1.118982
2011-10-13,-1.875644,-2.973629,-0.765563,-2.434816,-1.296668
2011-10-20,-1.273657,-2.30841,-0.08804,-1.819497,-0.697383
2011-10-27,-1.201349,-2.709732,0.1025,-1.774851,-0.59374
2011-11-08,-1.307442,-2.499991,-0.228126,-1.906186,-0.740366
2011-11-16,-1.162472,-2.259309,-0.036131,-1.699644,-0.615801
2011-11-23,-1.268101,-2.305699,-0.169725,-1.775521,-0.715841
2011-12-06,-1.291841,-2.396617,-0.154043,-1.864436,-0.71808
2011-12-13,-1.787987,-2.774532,-0.749551,-2.281481,-1.301766
