asOfDate,0-1Y,1-3Y,3-5Y,5-7Y,7-10Y,10-20Y,20+Y
2010-12-29,90045279300,266124645700,166424706600,209033170300,122763971100,100248917700,55283576900
2011-01-26,91787457700,285571277700,184129565600,239493732300,146500228700,101398917700,59517470400
2011-02-23,99552858900,312049500400,193594501900,272297565400,162522322100,107521057700,59490843700
2011-03-30,109559892100,344104562100,219958461400,283345119000,194612322100,108327057700,66732235700
2011-04-27,119302776200,355377801800,234467831100,300725042500,211386356700,113609057700,71658167600
2011-05-25,125483762500,377547062200,276025200900,323093249000,221809033700,111545557700,75931167600
2011-06-29,130521631400,393702618800,307966970900,340509198000,243768889200,113387557700,78219167600
2011-07-27,143408818200,386785117200,321908373900,335675748600,245914889200,114487557700,80669528800
2011-08-31,155523749000,382685957500,327109748100,352723437100,232860127000,110405557700,81323457200
2011-09-28,166766345500,379943054500,332752194700,350582273100,231973150900,111341557700,81647457200
2011-10-26,159854074200,361294850100,334825015700,353486462300,252731616400,113658557700,92414457200
2011-11-30,138251232400,329565759100,345609754600,379303384800,261160395300,97975657700,110339849700
2011-12-28,129735260661,296310623700,352715287300,384111597800,275181983600,100040657700,124379622800
2012-01-25,115922662000,269598074500,358131844500,387390578700,285261659900,101791657700,133981275700
2012-02-29,109127555100,237568419300,361715468200,412167430600,274910309600,103710657700,153334912500
2012-03-28,96612084000,211908098200,361715468200,419500430600,291325446000,105828657700,168863568300
2012-04-25,81441144600,178328613400,369765435900,421955414300,316120570600,108385657700,182587026400
2012-05-30,70699657200,150290828500,383235106800,436653297100,297237325000,110355657700,198547990600
2012-06-27,54341389400,136879700100,386747005400,434902054100,318514202000,112454657700,212855854200
2012-07-25,32769008500,120037699900,383323087700,438178645500,328120225700,114594657700,224514854200
2012-08-29,9196328000,109640391900,379455835200,475401516100,301716598600,113734157700,240303854200
2012-09-26,1919993000,82550555800,380929446900,486539479000,316959598600,115687157700,253851854200
2012-10-31,502092600,51797859300,371441424200,493166369100,332403598600,117737157700,267913854200
2012-11-28,526845600,24817009900,370454262200,530703048000,312538995700,116606157700,280148854200
2012-12-26,401875700,3995612400,360294840800,537561344800,327237995700,118485157700,298014854200
2013-01-30,21178000,3994770000,381601049500,538600687700,345803090800,119560157700,309827854200
2013-02-27,19956700,10772858400,404294447100,555728855000,333784324400,111480657700,323001854200
2013-03-27,313403200,42227004700,399007365100,546835814100,346742324400,112817657700,335653854200
2013-04-24,313886300,66179291500,400210678000,539499300000,356599324400,114717657700,346816854200
2013-05-29,312774900,107570303000,411679667100,546540258400,327985877200,116466657700,360378854200
2013-06-26,347164400,132769603600,413160712000,537704366400,340858877200,117382657700,373602854200
2013-07-31,385316400,149368708300,444636988400,516544928300,352078143900,118681657700,387772854200
2013-08-28,386778900,162896159000,463227462600,547796321700,326333619600,110013157700,399774854200
2013-09-25,390210900,169865605600,475320298600,541049345600,339652619600,111068157700,411327854200
2013-10-30,389003800,176692426600,489648824800,543113482000,355428619600,111280157700,427620854200
2013-11-27,475830900,196705678100,528171178800,512943221400,357152406600,113175157700,441297854200
2013-12-31,474519300,207241303600,554641515200,493788129700,369876406600,114112157700,455115854200
2014-01-29,474388900,221533488000,544601947900,505744567900,376618205300,114936157700,465920854200
2014-02-26,475583100,236045296500,582097990400,496744915800,358200199100,115595157700,475754854200
2014-03-26,181753000,249309317300,581003691300,497459740500,365925199100,116735157700,487028137900
2014-04-30,630638800,262846556700,611593061000,468381135000,377693199100,117569157700,497064137900
2014-05-28,2077863200,295790361300,611114431900,484220943100,341582699100,118194157700,502533137900
2014-06-25,2041875900,307711828800,622360184200,473549710600,346608699100,118922157700,510063137900
2014-07-30,2041768100,321678911100,630661435500,459575519800,353819831900,119384157700,516911137900
2014-08-27,3287613000,350854952700,669264676200,429099706300,325488812200,119875157700,521543137900
2014-09-24,3283344900,354053028000,682738405500,418137169800,327628812200,120292157700,525922137900
2014-10-29,3283486600,364999000900,683070774500,410525169800,332835812200,120491157700,529977137900
2014-11-26,3521179000,384416539700,712538974500,411837828400,287779678100,115089057700,529998489500
2014-12-31,3520527100,392284765000,718735271300,397772828400,287779678100,115089057700,529998489500
2015-01-28,3520381100,412419327000,699580614200,399290363800,291859136800,108512158700,529998489500
2015-02-25,10297275300,449303630200,696309781500,403028685800,253483954000,102757658700,529999093200
2015-03-25,42135149400,440797650500,682615740600,393389685800,253483954000,102757658700,529999093200
2015-04-29,66087294200,442062963400,668694226500,382091685800,253483954000,102757658700,529999093200
2015-05-27,105582337500,450498751300,666846061400,378453471100,210677623500,102757658700,530360972300
2015-06-24,130829551100,447133870500,649718169400,373698471100,210677623500,102757658700,530360972300
2015-07-29,147468721700,458128614900,639444263300,356692737800,210322623500,102757658700,530360972300
2015-08-26,159724663500,494350787400,641746124700,354463213500,168733083900,95474158700,530682612500
2015-09-30,166699183700,506529159800,625452148600,351603213500,168733083900,95474158700,530682612500
2015-10-28,173526521100,517123686000,616683285000,342950213500,168733083900,95474158700,530682612500
2015-11-25,193302080200,552685322300,574741024400,366311000500,131895366100,95474158700,530764134000
2015-12-30,203838710900,564342535300,558084056100,360774000500,131895366100,95474158700,530764134000
2016-01-27,218130688000,566578091400,552000370900,350343799200,135449359100,91906165700,530764134000
2016-02-24,225865602300,606354994200,533889863900,344431213200,115595828800,99201988700,520059117200
2016-03-30,207201851300,610816532400,539757381000,350419875900,115595828800,99201988700,522405150200
2016-04-27,197236885900,622467255700,532266575800,353405996500,118357372200,99201988700,522489597800
2016-05-25,190385687300,661691732100,529458377800,329619206300,108986828500,99201988700,525881851900
2016-06-29,177048015500,673341212700,522794633100,335165834200,111792136500,99201988700,525881851900
2016-07-27,174375927200,683559533000,511735382500,336451623500,113082781200,99201988700,527392841600
2016-08-31,187503166300,738367069200,468925886200,346041567700,82199133000,94233988700,528929266600
2016-09-28,187503166300,738367069200,468925886200,346041567700,82199133000,94233988700,528929266600
2016-10-26,191622459900,739548814800,461247470700,347748402000,82869675000,94233988700,528929266600
2016-11-30,188596387500,778596556800,461251239700,310445937200,86297614000,88496988700,532515353800
2016-12-28,188596387500,778596556800,461251239700,310445937200,85897614000,88496988700,532515353800
2017-01-25,194438619100,771311108300,460207934100,311671804300,90055202600,85447609700,533180279500
2017-02-22,224334378200,772664040400,466102343500,285498817200,83378181200,91015200700,523319596400
2017-03-29,243205986800,753862025500,461178703200,289382054500,83378181200,91015200700,524490405700
