,FCI-G,NFCI,ANFCI,STLFSI4,KCFSI
2018-01-01,,,,,-0.842354845691489
2018-01-05,,-0.62623,-0.63328,-0.6345,-0.842354845691489
2018-01-12,,-0.62608,-0.63272,-0.7145,-0.842354845691489
2018-01-19,,-0.62142,-0.62366,-0.6557,-0.842354845691489
2018-01-26,,-0.61224,-0.60646,-0.6669,-0.842354845691489
2018-01-31,-0.768784268070666,-0.61224,-0.60646,-0.6669,-0.842354845691489
2018-02-01,-0.768784268070666,-0.61224,-0.60646,-0.6669,-0.536943072690253
2018-02-02,-0.768784268070666,-0.5982,-0.58337,-0.5114,-0.536943072690253
2018-02-09,-0.768784268070666,-0.58021,-0.55771,0.0908,-0.536943072690253
2018-02-16,-0.768784268070666,-0.56437,-0.53811,-0.2704,-0.536943072690253
2018-02-23,-0.768784268070666,-0.54946,-0.5219,-0.3494,-0.536943072690253
2018-02-28,-0.696812177798397,-0.54946,-0.5219,-0.3494,-0.536943072690253
2018-03-01,-0.696812177798397,-0.54946,-0.5219,-0.3494,-0.633650279854647
2018-03-02,-0.696812177798397,-0.53515,-0.50654,-0.0814,-0.633650279854647
2018-03-09,-0.696812177798397,-0.52209,-0.48984,-0.1056,-0.633650279854647
2018-03-16,-0.696812177798397,-0.51167,-0.47209,-0.0347,-0.633650279854647
2018-03-23,-0.696812177798397,-0.5042,-0.45454,0.2451,-0.633650279854647
2018-03-30,-0.667325917532336,-0.50261,-0.44401,0.327,-0.633650279854647
2018-04-01,-0.667325917532336,-0.50261,-0.44401,0.327,-0.369018887759696
2018-04-06,-0.667325917532336,-0.50627,-0.44185,0.3251,-0.369018887759696
2018-04-13,-0.667325917532336,-0.51637,-0.45252,0.1258,-0.369018887759696
2018-04-20,-0.667325917532336,-0.53068,-0.47214,-0.075,-0.369018887759696
2018-04-27,-0.667325917532336,-0.54416,-0.49175,-0.0385,-0.369018887759696
2018-04-30,-0.571644654175115,-0.54416,-0.49175,-0.0385,-0.369018887759696
2018-05-01,-0.571644654175115,-0.54416,-0.49175,-0.0385,-0.590505628954543
2018-05-04,-0.571644654175115,-0.55606,-0.50811,-0.0044,-0.590505628954543
2018-05-11,-0.571644654175115,-0.56513,-0.51889,-0.2475,-0.590505628954543
2018-05-18,-0.571644654175115,-0.56987,-0.52317,-0.307,-0.590505628954543
2018-05-25,-0.571644654175115,-0.56935,-0.52141,-0.2407,-0.590505628954543
2018-05-31,-0.580599811831529,-0.56935,-0.52141,-0.2407,-0.590505628954543
2018-06-01,-0.580599811831529,-0.56431,-0.51645,0.0506,-0.595741917125169
2018-06-08,-0.580599811831529,-0.55842,-0.51139,-0.3997,-0.595741917125169
2018-06-15,-0.580599811831529,-0.55149,-0.50496,-0.35,-0.595741917125169
2018-06-22,-0.580599811831529,-0.54559,-0.49895,-0.2829,-0.595741917125169
2018-06-29,-0.535968518870237,-0.54237,-0.49516,-0.0713,-0.595741917125169
2018-07-01,-0.535968518870237,-0.54237,-0.49516,-0.0713,-0.441105458541932
2018-07-06,-0.535968518870237,-0.54359,-0.49864,-0.1999,-0.441105458541932
2018-07-13,-0.535968518870237,-0.54907,-0.50977,-0.4289,-0.441105458541932
2018-07-20,-0.535968518870237,-0.55711,-0.52729,-0.4651,-0.441105458541932
2018-07-27,-0.535968518870237,-0.56624,-0.54851,-0.5482,-0.441105458541932
2018-07-31,-0.47383350758753,-0.56624,-0.54851,-0.5482,-0.441105458541932
2018-08-01,-0.47383350758753,-0.56624,-0.54851,-0.5482,-0.731369314069678
2018-08-03,-0.47383350758753,-0.57536,-0.56852,-0.4548,-0.731369314069678
2018-08-10,-0.47383350758753,-0.58437,-0.58368,-0.5608,-0.731369314069678
2018-08-17,-0.47383350758753,-0.59126,-0.59162,-0.4545,-0.731369314069678
2018-08-24,-0.47383350758753,-0.59696,-0.59549,-0.6373,-0.731369314069678
2018-08-31,-0.54006710232659,-0.60092,-0.59919,-0.6812,-0.731369314069678
2018-09-01,-0.54006710232659,-0.60092,-0.59919,-0.6812,-0.766404131357719
2018-09-07,-0.54006710232659,-0.60302,-0.605,-0.6076,-0.766404131357719
2018-09-14,-0.54006710232659,-0.60327,-0.61284,-0.7213,-0.766404131357719
