DATE,reserves
2018-01-01,2214.601
2018-02-01,2238.775
2018-03-01,2167.009
2018-04-01,2086.192
2018-05-01,2022.453
2018-06-01,1988.224
2018-07-01,1949.82
2018-08-01,1911.165
2018-09-01,1873.866
2018-10-01,1830.017
2018-11-01,1775.291
2018-12-01,1691.394
2019-01-01,1639.03
2019-02-01,1645.233
2019-03-01,1661.297
2019-04-01,1559.45
2019-05-01,1511.285
2019-06-01,1535.857
2019-07-01,1513.55
2019-08-01,1520.876
2019-09-01,1439.771
2019-10-01,1481.513
2019-11-01,1529.341
2019-12-01,1630.09
2020-01-01,1645.384
2020-02-01,1656.989
2020-03-01,2045.148
2020-04-01,2953.586
2020-05-01,3217.635
2020-06-01,3043.556
2020-07-01,2718.529
2020-08-01,2799.719
